sep=,
"Name
                     
                    Date","Reference","Status","Description","Qty","Total Selling"
,,,"MAXFLO 500/150/10 A c/w 0,55KW 4P 380V","1","7504"
"Total for SO4637",,,,"1","7504"
"Total for DJ Air Conditioning",,,,"2","7859"
"Diatshepega",,,,,
"06/05/2026","SO4568","Invoiced",,,
,,,"Weather Louvre","2","2750"
"Total for SO4568",,,,"2","2750"
"Total for Diatshepega",,,,"2","2750"
"Dual Lighting cc",,,,,
"24/03/2026","SO4480","Invoiced",,,
,,,"E 304 T ATEX II 2G/D h T3/125 X Gb/Db","2","25396"
"Total for SO4480",,,,"2","25396"
"Total for Dual Lighting cc",,,,"2","25396"
"Ducttech CC",,,,,
"16/07/2026","SO4746","Invoiced",,,
,,,"MAXFLO 630/150/10 A c/w 2,20KW 4P 380V","1","9606.15"
"Total for SO4746",,,,"1","9606.15"
"16/07/2026","SO4747","Invoiced",,,
,,,"630 Diam Counter Flange","2","886"
"Total for SO4747",,,,"2","886"
"Total for Ducttech CC",,,,"3","10492.15"
"Duduzani",,,,,
"18/05/2026","SO4595","Invoiced",,,
,,,"MAJAX-3 630 c/w 1,10KW 4P 380V","1","8555"
,,,"630 Diam Silencer 1.5D Podded","2","7838"
,,,"630 Diam Counter Flange","2","886"
,,,"630 Diam Mounting Feet","4","1040"
,,,"630 to 1000 NDB GREEN Neoprene Floor Mounts","8","800"
"Total for SO4595",,,,"17","19119"
"21/07/2026","SO4758","Invoiced",,,
,,,"CE200","8","3120"
"Total for SO4758",,,,"8","3120"
"Total for Duduzani",,,,"25","22239"
"Dueltron (Pty) Ltd",,,,,
"04/03/2026","SO4424","Invoiced",,,
,,,"FAN REFURBISHING","1","4865"
"Total for SO4424",,,,"1","4865"
"16/03/2026","SO4457","Invoiced",,,
,,,"315 X 70 Wide Radical Bladed Fan - Existing Inlet ring removed - New one Manufactured & re-assembled","1","4867"
,,,"Re-balance Impeller","1","0"
"Total for SO4457",,,,"2","4867"
"23/03/2026","SO4478","Invoiced",,,
,,,"MAXFLO 560/150/10 P c/w 0,55KW 4P 380V-Flame Proof","1","19046"
,,,"560 Diam Silencer 1.5D Podded","2","6818"
,,,"560 Diam Counter Flange","2","794"
,,,"560 Diam Mounting Feet","4","1036"
"Total for SO4478",,,,"9","27694"
"09/06/2026","SO4651","Invoiced",,,
,,,"BDB 500 CM c/w 9.2kw 4pole 380V","1","53983"
"Total for SO4651",,,,"1","53983"
"Total for Dueltron (Pty) Ltd",,,,"13","91409"
"Dunamis Engineering",,,,,
"08/07/2026","SO4714","Invoiced",,,
,,,"Impeller","1","2895"
"Total for SO4714",,,,"1","2895"
"Total for Dunamis Engineering",,,,"1","2895"
"Duty Point Pty Ltd",,,,,
"21/04/2026","SO4537","Invoiced",,,
,,,"MAXFLO 800/150/10 A c/w 4,00KW 4P 380V - PLATE AXIAL","2","25476"
"Total for SO4537",,,,"2","25476"
"Total for Duty Point Pty Ltd",,,,"2","25476"
"Dyneamic Bearing (Pty) Ltd",,,,,
"12/05/2026","SO4581","Invoiced",,,
,,,"CMP 718 2M","1","12813"
"Total for SO4581",,,,"1","12813"
"Total for Dyneamic Bearing (Pty) Ltd",,,,"1","12813"
"EJ Stainless & Mildsteel Solutions",,,,,
"05/03/2026","SO4431","Invoiced",,,
,,,"450/150/9 Poly Prop Impeller - 24mm bore - 20deg (to suit 2.2Kw 2P) - FORM A","2","5208"
"Total for SO4431",,,,"2","5208"
"17/07/2026","SO4750","Invoiced",,,
,,,"315 impeller","1","3194"
"Total for SO4750",,,,"1","3194"
"Total for EJ Stainless & Mildsteel Solutions",,,,"3","8402"
"ELECT ACCOUNTING (Pty) Ltd",,,,,
"24/04/2026","SO4544","Invoiced",,,
,,,"Tiracamino Chimney Fan for Chimney Tops","1","12150"
,,,"Delivery to Cape Town","1","670"
"Total for SO4544",,,,"2","12820"
"Total for ELECT ACCOUNTING (Pty) Ltd",,,,"2","12820"
"Elmecair (Pty) Ltd",,,,,
"10/03/2026","SO4439","Invoiced",,,
,,,"LINEO 315 QUIET","1","12211"
"Total for SO4439",,,,"1","12211"
"13/04/2026","SO4519","Invoiced",,,
,,,"LINEO 200 QUIET","1","4406"
"Total for SO4519",,,,"1","4406"
"Total for Elmecair (Pty) Ltd",,,,"2","16617"
"Elroi Trading Enterprise",,,,,
"14/05/2026","SO4588","Invoiced",,,
,,,"MAXFLO 500/150/10 A c/w 0.37KW 4P 380V 304SS","1","39045"
,,,"500 Diam Mounting Feet","2","518"
,,,"SAL 630","1","66931"
,,,"Majax-2 1250 20.D.8 c/w 18.5kW 4 Pole 380V","1","63256"
,,,"1250 Diam Silencer 1.5D Podded","2","23562"
,,,"1250 Diam Counter Flange","2","1620"
,,,"1250 Diam Mounting Feet","4","7312"
,,,"PD3 RED - Anti Vibration Rubber Mounts","8","1600"
"Total for SO4588",,,,"21","203844"
"15/07/2026","SO4744","Invoiced",,,
,,,"0.75kW 2P 380V (New Motor)","1","4282"
"Total for SO4744",,,,"1","4282"
"24/07/2026","SO4764","Pending",,,
,,,"0.75 kW 380V variable speed drive","1","3685"
,,,"3 kW 380V variable speed drive","1","4246"
,,,"18.5 kW 380V variable speed drive","1","15795"
"Total for SO4764",,,,"3","23726"
"Total for Elroi Trading Enterprise",,,,"25","231852"
"Enviroware Construction (Pty) Ltd",,,,,
"28/07/2026","SO4778","Invoiced",,,
,,,"MAJAX-3 900 c/w 4,00KW 4P 380V","1","15469.99"
"Total for SO4778",,,,"1","15469.99"
"Total for Enviroware Construction (Pty) Ltd",,,,"1","15469.99"
"Fans Maintenance and More (Pty) Ltd",,,,,
"10/03/2026","SO4441","Invoiced",,,
,,,"KDAXIS 250","2","2424"
,,,"KDAXIS 350","2","3756"
"Total for SO4441",,,,"4","6180"
"28/04/2026","SO4548","Invoiced",,,
,,,"Tiracamino Chimney Fan for Chimney Tops","1","12114"
"Total for SO4548",,,,"1","12114"
"05/05/2026","SO4564","Invoiced",,,
,,,"CMA-531-2T-2 IE3","1","25102"
"Total for SO4564",,,,"1","25102"
"14/05/2026","SO4586","Invoiced",,,
,,,"CPV 1020 2T IE3","1","23492"
"Total for SO4586",,,,"1","23492"
"22/05/2026","SO4607","Invoiced",,,
,,,"KDAXIS 250","1","1212"
,,,"KDAXIS 350","1","1878"
"Total for SO4607",,,,"2","3090"
"22/05/2026","SO4609","Invoiced",,,
,,,"KDAXIS 250","1","1212"
,,,"KDAXIS 350","1","1878"
"Total for SO4609",,,,"2","3090"
"Total for Fans Maintenance and More (Pty) Ltd",,,,"11","73068"
"Filta-Matix (Pty) Ltd",,,,,
"19/05/2026","SO4599","Invoiced",,,
,,,"DD 9/9 - 6M0697 - 373W 4P 220V - 1Ph","1","4560"
"Total for SO4599",,,,"1","4560"
"Total for Filta-Matix (Pty) Ltd",,,,"1","4560"
"Future Success",,,,,
"09/07/2026","SO4722","Invoiced",,,
,,,"MAJAX-3 800 c/w 5,50KW 4P 380V","1","16975"
"Total for SO4722",,,,"1","16975"
"Total for Future Success",,,,"1","16975"
"GMN Trading Enterprise",,,,,
"31/03/2026","SO4497","Invoiced",,,
,,,"LINEO 200 QUIET","1","4406"
,,,"C1.5 Speed Controller (to suit Lineo 100 to 200)","1","986"
"Total for SO4497",,,,"2","5392"
"Total for GMN Trading Enterprise",,,,"2","5392"
"Gibela Trade and Invest 1247 CC t/a GTI AIR",,,,,
"12/03/2026","SO4447","Invoiced",,,
,,,"MAJAX-3 630 c/w 7,50KW 2P 380V","1","13933"
"Total for SO4447",,,,"1","13933"
"22/05/2026","SO4610","Invoiced",,,
,,,"Spare Impeller","2","6606"
,,,"630 Diam Silencer 1.5D Podded","2","7838"
"Total for SO4610",,,,"4","14444"
"Total for Gibela Trade and Invest 1247 CC t/a GTI AIR",,,,"5","28377"
"Global Cooling Air",,,,,
"17/07/2026","SO4751","Invoiced",,,
,,,"MAXFLO 400/150/10 P c/w 0.37KW 4P 380V","1","7705.24"
,,,"400 Diam Silencer 1.5D Podded","1","2126"
,,,"400 Diam Counter Flange","2","526"
"Total for SO4751",,,,"4","10357.24"
"Total for Global Cooling Air",,,,"4","10357.24"
"Global Marine and Diesel Parts Namibia CC",,,,,
"12/06/2026","SO4661","Pending",,,
,,,"CAM-550-2T-5.5/INOX-316 230/400V. IE3","1","113348"
"Total for SO4661",,,,"1","113348"
"Total for Global Marine and Diesel Parts Namibia CC",,,,"1","113348"
"Gwanga Entities Pty Ltd",,,,,
"23/04/2026","SO4543","Invoiced",,,
,,,"MAJAX-2 560 c/w 4,00KW 2P 380V","1","12225"
"Total for SO4543",,,,"1","12225"
"Total for Gwanga Entities Pty Ltd",,,,"1","12225"
"HMI Projects",,,,,
"29/06/2026","SO4694","Invoiced",,,
,,,"E 254 T ATEX II 2G/D h T3/125 X Gb/Db","1","12479"
"Total for SO4694",,,,"1","12479"
"16/07/2026","SO4748","Invoiced",,,
,,,"Shutter PVC Gravity for 250mmFan S/Frame","1","1159"
"Total for SO4748",,,,"1","1159"
"Total for HMI Projects",,,,"2","13638"
"Howden Power a Div of Howden Africa (Pty) LTD",,,,,
"24/04/2026","SO4546","Invoiced",,,
,,,"SCL K03-MS MOR IE3 M.E. 0.55 - 0.65 kW 2 POLI345-415/200-240V 50Hz - 380V","1","13424"
"Total for SO4546",,,,"1","13424"
"15/05/2026","SO4593","Invoiced",,,
,,,"KDAXIS 300","3","6072"
,,,"250/355 Wall Cowl Galvanized","3","6105"
,,,"V 150/6 AR","1","1854"
,,,"PIR Sensor","1","1293"
"Total for SO4593",,,,"8","15324"
"25/05/2026","SO4613","Invoiced",,,
,,,"FUMAX 1000.32.F.8 c/w 22KW 4P 380V","2","191744"
"Total for SO4613",,,,"2","191744"
"08/06/2026","SO4648","Invoiced",,,
,,,"HV 9.5 - 220V 0.55KW","1","8995"
,,,"1000x1000mm Grilles","1","4212"
,,,"HV 9.5 - 220V 0.55KW","1","8995"
,,,"1000x1000mm Grilles","1","4212"
,,,"HV 9.5 - 220V 0.55KW","1","8995"
,,,"HV 9.5 - 220V 0.55KW","1","8995"
,,,"1000x1000mm Grilles","1","4212"
"Total for SO4648",,,,"7","48616"
"Total for Howden Power a Div of Howden Africa (Pty) LTD",,,,"18","269108"
"Hucra Fans",,,,,
"03/03/2026","SO4421","Invoiced",,,
,,,"Tiracamino Chimney Fan for Chimney Tops","1","12114"
"Total for SO4421",,,,"1","12114"
"06/03/2026","SO4435","Invoiced",,,
,,,"LINEO 250 QUIET","1","0"
"Total for SO4435",,,,"1","0"
"10/03/2026","SO4440","Invoiced",,,
,,,"SCL-K05 MS-2.2kW 380V","1","18442"
"Total for SO4440",,,,"1","18442"
"11/03/2026","SO4445","Invoiced",,,
,,,"KAZ 140","3","5730"
"Total for SO4445",,,,"3","5730"
"23/03/2026","SO4477","Invoiced",,,
,,,"CPV 1020 4T","1","0"
"Total for SO4477",,,,"1","0"
"24/03/2026","SO4481","Invoiced",,,
,,,"VRL6 - 2'","1","2753"
"Total for SO4481",,,,"1","2753"
"31/03/2026","SO4499","Invoiced",,,
,,,"V 150/6 AR LL S","1","2100"
"Total for SO4499",,,,"1","2100"
"09/04/2026","SO4513","Invoiced",,,
,,,"F 120 / 5 WINDOW KIT","1","319"
,,,"M 120 / 5 LL","1","1148"
"Total for SO4513",,,,"2","1467"
"10/04/2026","SO4516","Invoiced",,,
,,,"Tiracamino Chimney Fan for Chimney Tops","1","12114"
"Total for SO4516",,,,"1","12114"
"16/04/2026","SO4529","Invoiced",,,
,,,"HCT-25-2T/PL","1","3221"
"Total for SO4529",,,,"1","3221"
"16/04/2026","SO4530","Invoiced",,,
,,,"V 150/6 AR LL S","1","2100"
"Total for SO4530",,,,"1","2100"
"21/04/2026","SO4538","Invoiced",,,
,,,"CMA-528-2T-1.5 IE3","1","19839"
"Total for SO4538",,,,"1","19839"
"28/04/2026","SO4547","Invoiced",,,
,,,"E 304 T ATEX II 2G/D h T3/125 X Gb/Db","1","13079"
"Total for SO4547",,,,"1","13079"
"12/05/2026","SO4583","Invoiced",,,
,,,"V 150/6 AR LL S","2","4200"
"Total for SO4583",,,,"2","4200"
"21/05/2026","SO4606","Invoiced",,,
,,,"C2.5 Speed Controller (to suit Lineo 250 to 315)","1","1215"
"Total for SO4606",,,,"1","1215"
"29/05/2026","SO4622","Invoiced",,,
,,,"CMA-324-2T","1","9010"
"Total for SO4622",,,,"1","9010"
"18/06/2026","SO4669","Invoiced",,,
,,,"CMA-324-2T","1","9010"
"Total for SO4669",,,,"1","9010"
"23/06/2026","SO4680","Invoiced",,,
,,,"E 404 M ATEX II 2G/D h T3/125 X Gb/Db","1","16799"
"Total for SO4680",,,,"1","16799"
"26/06/2026","SO4689","Invoiced",,,
,,,"KAZ 120","1","1641"
"Total for SO4689",,,,"1","1641"
"07/07/2026","SO4711","Invoiced",,,
,,,"V 230/9 AR LL S","1","4061"
"Total for SO4711",,,,"1","4061"
"24/07/2026","SO4762","Invoiced",,,
,,,"CF9 - 4'","2","2232"
"Total for SO4762",,,,"2","2232"
"24/07/2026","SO4763","Invoiced",,,
,,,"M 120 / 5 LL","2","2296"
,,,"F 120 / 5 WINDOW KIT","2","638"
"Total for SO4763",,,,"4","2934"
"28/07/2026","SO4773","Invoiced",,,
,,,"V 150/6 AR LL S","2","4200"
"Total for SO4773",,,,"2","4200"
"Total for Hucra Fans",,,,"32","148261"
"Hurricane Group",,,,,
"13/03/2026","SO4452","Invoiced",,,
,,,"MAJAX-3 500 c/w 3,00KW 2P 380V","4","42996"
,,,"500 Diam Counter Flange","8","2840"
"Total for SO4452",,,,"12","45836"
"Total for Hurricane Group",,,,"12","45836"
"INVESTER Amalgam Pty Ltd",,,,,
"13/04/2026","SO4521","Invoiced",,,
,,,"C2.5 Speed Controller (to suit Lineo 250 to 315)","1","1180"
"Total for SO4521",,,,"1","1180"
"Total for INVESTER Amalgam Pty Ltd",,,,"1","1180"
"Industrial Supply (Pty)Ltd",,,,,
"14/07/2026","SO4737","Invoiced",,,
,,,"KDAXIS 250","5","6730"
"Total for SO4737",,,,"5","6730"
"Total for Industrial Supply (Pty)Ltd",,,,"5","6730"
"Industrial Thermodynamics (PTY) LTD",,,,,
"08/04/2026","SO4512","Invoiced",,,
,,,"CAM 545 2T 4 c/w 3.0kw 2P 400V - Handing LG270","1","41648"
"Total for SO4512",,,,"1","41648"
"Total for Industrial Thermodynamics (PTY) LTD",,,,"1","41648"
"Inland Refrigeration & Air-Conditioning",,,,,
"03/07/2026","SO4704","Invoiced",,,
,,,"CUB 315","1","6134"
"Total for SO4704",,,,"1","6134"
"Total for Inland Refrigeration & Air-Conditioning",,,,"1","6134"
"Intervent-Universal (Pty) Ltd",,,,,
"22/06/2026","SO4672","Invoiced",,,
,,,"RAD 250","8","19840"
"Total for SO4672",,,,"8","19840"
"Total for Intervent-Universal (Pty) Ltd",,,,"8","19840"
"Invelaphi Group (Pty) Ltd",,,,,
"26/06/2026","SO4688","Invoiced",,,
,,,"LINEO 200 QUIET","1","4406"
"Total for SO4688",,,,"1","4406"
"09/07/2026","SO4720","Invoiced",,,
,,,"MAXFLO 630/250/14 A c/w 1,50KW 4P 380V","1","10255"
,,,"630 Diam Silencer 1.5D Podded","2","7838"
,,,"630 Diam Counter Flange","2","886"
,,,"630 Diam Mounting Feet","4","1040"
,,,"630 to 1000 NDB GREEN Neoprene Floor Mounts","8","800"
"Total for SO4720",,,,"17","20819"
"10/07/2026","SO4728","Invoiced",,,
,,,"400 Diam Silencer 1.5D Podded","2","4300"
"Total for SO4728",,,,"2","4300"
"10/07/2026","SO4729","Invoiced",,,
,,,"400 Diam Silencer 1.5D Podded","4","8600"
,,,"315 Diam Silencer 1.5D Podded","2","3490"
"Total for SO4729",,,,"6","12090"
"Total for Invelaphi Group (Pty) Ltd",,,,"26","41615"
"JJJ Airconditioning and Refrigeration",,,,,
"17/06/2026","SO4664","Invoiced",,,
,,,"MAXFLO 400/150/10 P c/w 0,75KW 2P 380V","1","6117"
,,,"400 Diam Silencer 1.5D Podded","2","4250"
,,,"400 Diam Counter Flange","2","526"
,,,"400 Diam Mounting Feet","4","564"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","8","560"
"Total for SO4664",,,,"17","12017"
"15/07/2026","SO4739","Invoiced",,,
,,,"MAXFLO 315/150/10 P c/w 0,55KW 2P 380V","1","5414"
"Total for SO4739",,,,"1","5414"
"Total for JJJ Airconditioning and Refrigeration",,,,"18","17431"
"JOEL MARK",,,,,
"31/03/2026","SO4498","Invoiced",,,
,,,"V 150/6 AR","1","1937"
,,,"CR5 Speed Controller","1","1179"
"Total for SO4498",,,,"2","3116"
"08/04/2026","SO4509","Invoiced",,,
,,,"CR5 Speed Controller","1","1179"
"Total for SO4509",,,,"1","1179"
"Total for JOEL MARK",,,,"3","4295"
"JUICE AND JAIKS (PTY) LTD",,,,,
"01/06/2026","SO4627","Invoiced",,,
,,,"RM-01","1","950"
"Total for SO4627",,,,"1","950"
"Total for JUICE AND JAIKS (PTY) LTD",,,,"1","950"
"Jaft Aircon Services (Pty) Ltd",,,,,
"08/05/2026","SO4572","Invoiced",,,
,,,"M 150 / 6","1","1454"
"Total for SO4572",,,,"1","1454"
"10/06/2026","SO4656","Invoiced",,,
,,,"LINEO 200 QUIET","2","8812"
"Total for SO4656",,,,"2","8812"
"13/07/2026","SO4731","Invoiced",,,
,,,"LINEO 200 QUIET","2","8812"
"Total for SO4731",,,,"2","8812"
"Total for Jaft Aircon Services (Pty) Ltd",,,,"5","19078"
"Jamarmic Pump and Valve Engineering (Pty) Ltd",,,,,
"13/04/2026","SO4514","Invoiced",,,
,,,"MAXFLO 630/150/10 A c/w 3,00KW 4P 380V (SATMOS TREATED)","1","13298"
"Total for SO4514",,,,"1","13298"
"30/07/2026","SO4784","Invoiced",,,
,,,"CASALS BD 12/12 - 6N0320 - 1100W 6P 400V 3Ph","1","9517.64"
"Total for SO4784",,,,"1","9517.64"
"Total for Jamarmic Pump and Valve Engineering (Pty) Ltd",,,,"2","22815.64"
"Jobe Technical Trading",,,,,
"08/04/2026","SO4507","Invoiced",,,
,,,"MAXFLO 400/150/10 A c/w 1,10KW 2P 380V","2","12572"
,,,"400 Diam Flexible Connection","4","2644"
,,,"400 Diam Counter Flange","4","1052"
,,,"400 Diam Silencer 1.5D Podded","4","8500"
,,,"400 Diam Mounting Feet","8","1128"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","16","1040"
"Total for SO4507",,,,"38","26936"
"Total for Jobe Technical Trading",,,,"38","26936"
"Kate Chishimba",,,,,
"22/06/2026","SO4676","Invoiced",,,
,,,"MAJAX-3 630 c/w 11,00KW 2P 380V","1","22151"
,,,"630 Diam Melinex Silencer 1.5D Podded","2","9266"
,,,"630 Diam Counter Flange","2","1047.26"
,,,"630 Diam Mounting Feet","4","1229.76"
,,,"630 to 1000 NDB GREEN Neoprene Floor Mounts","8","944"
"Total for SO4676",,,,"17","34638.02"
"Total for Kate Chishimba",,,,"17","34638.02"
"Kenmare Moma Processing (Mauritius) Limited",,,,,
"31/03/2026","SO4501","Invoiced",,,
,,,"PVT/30 c/w 380W 2800RPM 220V","1","4800"
,,,"10 Meter Spiral Flexible Ducting","1","1981"
"Total for SO4501",,,,"2","6781"
"31/03/2026","SO4502","Invoiced",,,
,,,"SCL-K10 MS-11kW - Item no 28000234","1","103711"
"Total for SO4502",,,,"1","103711"
"31/03/2026","SO4525","Invoiced",,,
,,,"SCL-K08 MS-7.5kW - Item Code 28000002","1","83433"
"Total for SO4525",,,,"1","83433"
"13/05/2026","SO4584","Invoiced",,,
,,,"SCL-e11 TS-22kW - Item No 28000552","2","523356"
"Total for SO4584",,,,"2","523356"
"08/06/2026","SO4645","Invoiced",,,
,,,"SCL-K08 MS-7.5kW - Item No 28000002","1","83433"
,,,"SCL-K10 MS-11kW - Item no 28000234","1","103711"
"Total for SO4645",,,,"2","187144"
"30/07/2026","SO4785","Pending",,,
,,,"SCL-K08 MS-7.5kW - Item No 28000002","1","83433"
"Total for SO4785",,,,"1","83433"
"Total for Kenmare Moma Processing (Mauritius) Limited",,,,"9","987858"
"LJ Trading & Projects (Pty) Ltd",,,,,
"21/03/2026","SO4473","Invoiced",,,
,,,"3kW 4P 380V Pad Mount Motor","1","4739"
"Total for SO4473",,,,"1","4739"
"30/04/2026","SO4556","Overdue",,,
,,,"MAXFLO 630/150/10 P c/w 2,20KW 4P 380V","1","8646.3"
,,,"630 Diam Silencer 1.5D Podded","2","7838"
,,,"630 Diam Counter Flange","2","886"
,,,"630 Diam Mounting Feet","4","1040"
,,,"630 to 1000 NDB GREEN Neoprene Floor Mounts","8","800"
,,,"LINEO 315","1","6144"
,,,"315 Diam Tube Silencer 600L","2","1768"
,,,"MAXFLO 560/150/10 P c/w 2,20KW 2P 380V","1","8473"
,,,"560 Diam Silencer 2.0D Podded","2","7524"
,,,"560 Diam Counter Flange","2","794"
,,,"560 Diam Mounting Feet","4","1036"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","8","520"
,,,"MAXFLO 800/250/14 A c/w 5,50KW 4P 380V","1","13114.4"
,,,"800 Diam Silencer 1.5D Podded","2","6037.2"
,,,"800 Diam Counter Flange","2","635.2"
,,,"800 Diam Mounting Feet","4","828.8"
,,,"630 to 1000 NDB GREEN Neoprene Floor Mounts","8","416"
,,,"MAXFLO 710/250/14 A c/w 2,20KW 4P 380V","1","8945.1"
,,,"710 Diam Silencer 1.5D Podded","2","9598"
,,,"710 Diam Counter Flange","2","1002"
,,,"710 Diam Mounting Feet","4","1648"
,,,"630 to 1000 NDB GREEN Neoprene Floor Mounts","8","800"
,,,"MAXFLO 560/150/10 A c/w 3,00KW 2P 380V","1","8963"
,,,"560 Diam Silencer 2.0D Podded","2","7524"
,,,"560 Diam Counter Flange","2","794"
,,,"560 Diam Mounting Feet","4","1036"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","8","520"
,,,"MAXFLO 560/150/10 P c/w 2,20KW 2P 380V","1","8473"
,,,"560 Diam Silencer 2.0D Podded","2","7524"
,,,"560 Diam Counter Flange","2","794"
,,,"560 Diam Mounting Feet","4","1036"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","8","520"
,,,"500.20.C.4 c/w 1.50KW 2P 380V","4","63000"
,,,"500 Diam Silencer 1.5D Podded","8","21088"
,,,"500 Diam Counter Flange","8","2840"
,,,"500 Diam Mounting Feet","16","3952"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","32","2080"
"Total for SO4556",,,,"173","218638"
"14/05/2026","SO4587","Invoiced",,,
,,,"FAN REFURBISHING","1","4292"
"Total for SO4587",,,,"1","4292"
"Total for LJ Trading & Projects (Pty) Ltd",,,,"175","227669"
"Letsatsi General Trading",,,,,
"25/06/2026","SO4686","Invoiced",,,
,,,"NEOLINEO-200/V","1","3945"
,,,"Installation +Disk Valves, Flex and Weather Louvre+ Electrical+ Wall Sleeve and Ductwork","1","18142"
"Total for SO4686",,,,"2","22087"
"Total for Letsatsi General Trading",,,,"2","22087"
"Luft Technik (Pty) Ltd",,,,,
"11/05/2026","SO4575","Invoiced",,,
,,,"MAXFLO 315/150/10 A c/w 0.37kW 2P 380V (BLOCK A)","1","0"
,,,"NEOLINEO-200/V (BLOCK B)","1","0"
,,,"315 Diam Silencer 1.5D Podded","2","0"
,,,"200 Diam Tube Silencer 600L","2","0"
,,,"315 Diam Mounting Feet","4","0"
,,,"NEOLINEO-315/V","1","5898.24"
"Total for SO4575",,,,"11","5898.24"
"22/05/2026","SO4612","Invoiced",,,
,,,"RA1-2 Speed control","1","760"
"Total for SO4612",,,,"1","760"
"28/05/2026","SO4621","Pending",,,
,,,"LCH HOSPITAL","1","1617741.75"
"Total for SO4621",,,,"1","1617741.75"
"06/07/2026","SO4706","Invoiced",,,
,,,"NEOLINEO-315/V","1","5898.24"
"Total for SO4706",,,,"1","5898.24"
"07/07/2026","SO4709","Invoiced",,,
,,,"12943 - RA1-2 Speed control","1","760"
"Total for SO4709",,,,"1","760"
"Total for Luft Technik (Pty) Ltd",,,,"15","1631058.23"
"MBS",,,,,
"05/03/2026","SO4432","Invoiced",,,
,,,"MAXFLO 560/250/14 P c/w 1,50KW 4P 380V","2","19127.7"
,,,"560 Diam Silencer 1.5D Podded","2","6818"
,,,"560 Diam Counter Flange","4","1588"
,,,"560 Diam Mounting Feet","8","2072"
,,,"Anti-Vibration Rubber Mounts","8","520"
"Total for SO4432",,,,"24","30125.7"
"Total for MBS",,,,"24","30125.7"
"MBS Elecmech Group CC",,,,,
"21/04/2026","SO4539","Invoiced",,,
,,,"RAD 250","1","2650"
"Total for SO4539",,,,"1","2650"
"Total for MBS Elecmech Group CC",,,,"1","2650"
"MECSS",,,,,
"23/07/2026","SO4760","Pending",,,
,,,"/1.0 ARR 6A 11kW 2P MOTOR 525 V","1","55321"
"Total for SO4760",,,,"1","55321"
"Total for MECSS",,,,"1","55321"
"MK Technical Services (PTY) LTD",,,,,
"16/03/2026","SO4459","Invoiced",,,
,,,"NEOLINEO-315/V","1","6144"
,,,"315 Diam Tube Silencer 600L","2","1768"
"Total for SO4459",,,,"3","7912"
"21/05/2026","SO4605","Invoiced",,,
,,,"HC-25-4M/H","4","23120"
"Total for SO4605",,,,"4","23120"
"09/06/2026","SO4653","Invoiced",,,
,,,"MAXFLO 500/150/10 P c/w 1,50KW 2P 380V","1","7282"
,,,"500 Diam Silencer 1.5D Podded","1","2636"
,,,"500 Diam Counter Flange","2","710"
,,,"500 Diam Mounting Feet","3","741"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","6","390"
"Total for SO4653",,,,"13","11759"
"Total for MK Technical Services (PTY) LTD",,,,"20","42791"
"MR Aubrey Murray",,,,,
"14/07/2026","SO4735","Invoiced",,,
,,,"Extractor Ceiling Fan 250mm 220v","1","490"
"Total for SO4735",,,,"1","490"
"Total for MR Aubrey Murray",,,,"1","490"
"Machine Tool Repair Services",,,,,
"20/05/2026","SO4601","Invoiced",,,
,,,"CMP 512 2T","1","4332"
"Total for SO4601",,,,"1","4332"
"Total for Machine Tool Repair Services",,,,"1","4332"
"Macnab's Refrigeration",,,,,
"27/03/2026","SO4491","Invoiced",,,
,,,"Speed Control /VSD 0.37KW","1","3388"
"Total for SO4491",,,,"1","3388"
"Total for Macnab's Refrigeration",,,,"1","3388"
"Maddox Adams International SA cc",,,,,
"15/07/2026","SO4742","Invoiced",,,
,,,"SCL-K04 MS-1.1kW 380V","2","30040.42"
"Total for SO4742",,,,"2","30040.42"
"21/07/2026","SO4755","Invoiced",,,
,,,"SCL-K04 MS-1.1kW 380V","1","15020.21"
"Total for SO4755",,,,"1","15020.21"
"Total for Maddox Adams International SA cc",,,,"3","45060.63"
"Makasela Air",,,,,
"12/06/2026","SO4662","Invoiced",,,
,,,"LINEO 315 - (FAN-00-01)","1","6144"
,,,"315 Diam Tube Silencer 600L","2","1768"
,,,"NEOLINEO-315/V - (FAN-00-02)","1","5899"
,,,"315 Diam Tube Silencer 600L","2","1768"
,,,"KDAXIS 250 - (FAN-00-03/4","2","2692"
,,,"KDAXIS 250 - (FAN-00-05)","1","1346"
"Total for SO4662",,,,"9","19617"
"24/07/2026","SO4766","Pending",,,
,,,"500 Diam Melinex Silencer 2.0D Podded","1","3386"
"Total for SO4766",,,,"1","3386"
"Total for Makasela Air",,,,"10","23003"
"Masgcor (PTY) Ltd",,,,,
"04/06/2026","SO4639","Invoiced",,,
,,,"CBD-2828-4M 3/4/HE c/w 0.55kw 4P 220V","10","88760"
,,,"CBD-2828-4M Counter Flanges","10","5540"
,,,"Delivery","1","6647"
"Total for SO4639",,,,"21","100947"
"Total for Masgcor (PTY) Ltd",,,,"21","100947"
"Matla Solution Group",,,,,
