sep=,
"Code","Description","Category","Last Cost","Avg. Cost","Excl. Price","Incl. Price","GP %","GP Amount","Qty on Hand","Active","Phys."
"500MFUG","500 Diam Mounting Feet Ungalvanized","FM - M/FEET","R 0.00","0","0","0","0","0","18","Yes","Yes"
"500mm Zinc -","Zinc Filter Clips",,"R 62.00","62","0","0","0","-62","48","Yes","Yes"
"500mm Zinz -","Zinc Filter Clips",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"500PLT400-2MM","500 Casing Sheet - 1579 x 400 - 2mm","CASING","R 207.08","207.08","0","0","0","-207.08","6","Yes","Yes"
"500PLT400-3MM","500 Casing Sheet - 1579 x 400 - 3mm","CASING","R 311.00","385.17","0","0","0","-385.17","6","Yes","Yes"
"500PLT500-3MM","500 Casing Sheet - 1579 x 500 - 3mm","CASING","R 389.00","389","0","0","0","-389","1","Yes","Yes"
"500S1.0D","500 Diam Silencer 1.0D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"500S1.0DP","500 Diam Silencer 1.0D Podded","FM - DONKIN","R 1,575.00","1575","0","0","0","-1575","0","Yes","Yes"
"500S1.5D","500 Diam Silencer 1.5D","FM - DONKIN","R 0.00","0","0","0","0","0","-2","Yes","Yes"
"500S1.5DP","500 Diam Silencer 1.5D Podded","FM - DONKIN","R 2,025.00","2025","0","0","0","-2025","4","Yes","Yes"
"500S2.0D","500 Diam Silencer 2.0D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"500S2.0DP","500 Diam Silencer 2.0D Podded","FM - DONKIN","R 2,608.00","2608","0","0","0","-2608","5","Yes","Yes"
"500SC-","Screen",,"R 309.00","309","0","0","0","-309","0","Yes","Yes"
"500SM1.0D","500 Diam Melinex Silencer 1.0D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"500SM1.0DP","500 Diam Melinex Silencer 1.0D Podded","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"500SM1.5D","500 Diam Melinex Silencer 1.5D","FM - DONKIN","R 0.00","0","0","0","0","0","-2","Yes","Yes"
"500SM1.5DP","500 Diam Melinex Silencer 1.5D Podded","FM - DONKIN","R 1,819.00","1819","0","0","0","-1819","-1","Yes","Yes"
"500SM2.0D","500 Diam Melinex Silencer 2.0D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"500SM2.0DP","500 Diam Melinex Silencer 2.0D Podded","FM - DONKIN","R 2,608.00","2608","0","0","0","-2608","1","Yes","Yes"
"502203527","MBP 35 2T c/w 2.2Kw 2880rpm 380V Motor",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"51070","PRA REDUCER FLP Ex d/e 32M-25F",,"R 124.88","124.88","0","0","0","-124.88","4","Yes","Yes"
"549CFUG - B","549 Diam Counter Flange Ungalvanised - Buffalo","C/FLANGE","R 0.00","0","0","0","0","0","20","Yes","Yes"
"560 20.D.8","Spare Impeller",,"R 1,751.25","1751.25","0","0","0","-1751.25","1","Yes","Yes"
"560 FB","Filter Box",,"R 0.00","0","0","0","0","0","-3","Yes","Yes"
"560/150/10 SI","Spare Impeller (560mm 'B' 150A10AR 19mm 080Frame Deg 21 DEG - FM3181)",,"R 1,766.25","1766.25","0","0","0","-1766.25","1","Yes","Yes"
"560CF","560 Diam Counter Flange","FM - C/FLANGE","R 0.00","0","0","0","0","0","-9","Yes","Yes"
"560CFUG","560 Diam Counter Flange Ungalvanised","FM - C/FLANGE","R 0.00","0","0","0","0","0","18","Yes","Yes"
"560DC","Discharge Cowl",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"560FC","560 Diam Flexible Connection","FM - DONKIN","R 733.00","733","0","0","0","-733","0","Yes","Yes"
"560HVJ-2S","560 Diam Vertical Discharge Unit","FM - DONKIN","R 1,239.00","1201.86","0","0","0","-1201.86","7","Yes","Yes"
"560HVJ-2SB","560 Diam Vertical Discharge BASE","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"560ICS","Majax Inlet Cone & Screen",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"560IMP","Impeller 560/250/14 Aluminum - 20 deg pitch, Form B, 24mm Bore",,"R 2,428.00","2428","0","0","0","-2428","2","Yes","Yes"
"560LS","Louvre Shutter",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"560MBP04","1-0350-240 P04 - 560 Motor Bracket",,"R 20.00","26.38","0","0","0","-26.38","276","Yes","Yes"
"560MF","560 Diam Mounting Feet","FM - M/FEET","R 202.00","202","0","0","0","-202","-213","Yes","Yes"
"560MFUG","560 Diam Mounting Feet Ungalvanized","FM - M/FEET","R 0.00","0","0","0","0","0","0","Yes","Yes"
"560PLT400-2MM","560 Casing Sheet - 1767 x 400 - 2mm","CASING","R 232.00","232","0","0","0","-232","10","Yes","Yes"
"560PLT400-3MM","560 Casing Sheet - 1767 x 400 - 3mm","CASING","R 348.00","418.71","0","0","0","-418.71","7","Yes","Yes"
"560PLT500-3MM","560 Casing Sheet - 1767 x 500 - 3mm","CASING","R 559.00","559","0","0","0","-559","0","Yes","Yes"
"560S1.0D","560 Diam Silencer 1.0D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"560S1.0DP","560 Diam Silencer 1.0D Podded","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"560S1.5D","560 Diam Silencer 1.5D","FM - DONKIN","R 2,352.00","2352","0","0","0","-2352","2","Yes","Yes"
"560S1.5DP","560 Diam Silencer 1.5D Podded","FM - DONKIN","R 2,617.00","2617","0","0","0","-2617","-11","Yes","Yes"
"560S2.0D","560 Diam Silencer 2.0D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"560S2.0DP","560 Diam Silencer 2.0D Podded","FM - DONKIN","R 3,435.00","3435","0","0","0","-3435","-2","Yes","Yes"
"560SC","Screen",,"R 386.00","386","0","0","0","-386","15","Yes","Yes"
"560SM1.0D","560 Diam Melinex Silencer 1.0D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"560SM1.0DP","560 Diam Melinex Silencer 1.0D Podded","FM - DONKIN","R 2,138.00","2138","0","0","0","-2138","0","Yes","Yes"
"560SM1.5D","560 Diam Melinex Silencer 1.5D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"560SM1.5DP","560 Diam Melinex Silencer 1.5D Podded","FM - DONKIN","R 2,486.15","2486.15","0","0","0","-2486.15","6","Yes","Yes"
"560SM2.0D","560 Diam Melinex Silencer 2.0D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"560SM2.0DP","560 Diam Melinex Silencer 2.0D Podded","FM - DONKIN","R 3,435.00","3435","0","0","0","-3435","4","Yes","Yes"
"560WC","Wall Cowl & Screen",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"600 X 600","Sand Trap Air Louver",,"R 0.00","0","0","0","0","0","-1","Yes","Yes"
"600/150","150NB T600 RINGS CUT IN ORDER TO MACHINE FLANGES",,"R 407.50","407.5","0","0","0","-407.5","6","Yes","Yes"
"600WC","Wall Cowl & Screen",,"R 0.00","0","0","0","0","0","-1","Yes","Yes"
"600WL","Weather Louvre",,"R 0.00","0","0","0","0","0","-3","Yes","Yes"
"6038M104","AT18/18 AR 035 PHASE","FM - NICOTRA","R 3,998.00","3665","0","0","0","-3665","4","Yes","Yes"
"610303","DD 7-7 - 610303 - 62W 6P 230V-1Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","-2","Yes","Yes"
"610318","DD 12/9 - 610318 - 1100W 6P 400V - 3Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","-2","Yes","Yes"
"610633","DD 7/7 - 610633 - 147W 4P 230V-1Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","3","Yes","Yes"
"630","630mm Fan Guard",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"630 IC","Inlet Cone c/w Screen",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"630 Screen","Majax-2 Screen",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"630.20.D.4","Spare Impeller",,"R 2,200.00","2200","0","0","0","-2200","1","Yes","Yes"
"630/150/10 SI","Spare Impeller (0630mm 'B' 150A10AR 24mm 090Frame Deg 35 DEG - FM3180)",,"R 1,766.25","1766.25","0","0","0","-1766.25","1","Yes","Yes"
"630/150/5 SI","Spare Impeller",,"R 1,076.25","1382.5","0","0","0","-1382.5","4","Yes","Yes"
"630/150/6 SI","Spare Impeller",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"630/250/7SI","Spare Impeller",,"R 1,837.50","1837.5","0","0","0","-1837.5","0","Yes","Yes"
"630/3/6","UV 630/3/6 c/w 1.5 kW 6 Pole 380V",,"R 10,527.25","10527.25","0","0","0","-10527.25","1","Yes","Yes"
"630-1000AVMS","630 to 1000 NDB GREEN Neoprene Floor Mounts","FM - DONKIN","R 58.37","57.48","0","0","0","-57.48","532","Yes","Yes"
"630CF","630 Diam Counter Flange","FM - C/FLANGE","R 0.00","0","330","379.5","0","330","-19","Yes","Yes"
"630CFUG","630 Diam Counter Flange Ungalvanised","FM - C/FLANGE","R 0.00","0","0","0","0","0","41","Yes","Yes"
"630FC","630 Diam Flexible Connection","FM - DONKIN","R 822.00","663.63","0","0","0","-663.63","12","Yes","Yes"
"630HD","630mm Horizontal Discharge Unit with flange and mesh",,"R 1,203.00","1203","0","0","0","-1203","1","Yes","Yes"
"630HVJ-2S","630 Diam Vertical Discharge Unit","FM - DONKIN","R 1,437.00","1437","0","0","0","-1437","3","Yes","Yes"
"630HVJ-2SB","630 Diam Vertical Discharge BASE","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"630MB","630 Impeller - Balance and Machine",,"R 0.00","0","0","0","0","0","1","Yes","Yes"
"630MBP05","1-0350-240 P05 - 630 Motor Bracket",,"R 0.00","39.82","0","0","0","-39.82","188","Yes","Yes"
"630MF","630 Diam Mounting Feet","FM - M/FEET","R 0.00","0","188","216.2","0","188","-123","Yes","Yes"
"630MFUG","630 Diam Mounting Feet Ungalvanized","FM - M/FEET","R 0.00","0","0","0","0","0","27","Yes","Yes"
"630MV112P","Minevent 630 c/w 11kw 2P 400V",,"R 0.00","0","75857","87235.55","0","75857","0","Yes","Yes"
"630PLT400-2MM","630 Casing Sheet - 1987 x 400 - 2mm","CASING","R 0.00","0","0","0","0","0","0","Yes","Yes"
"630PLT400-3MM","630 Casing Sheet - 1987 x 400 - 3mm","CASING","R 391.00","437.67","0","0","0","-437.67","12","Yes","Yes"
"630PLT500-3MM","630 Casing Sheet - 1987 x 500 - 3mm","CASING","R 628.00","628","0","0","0","-628","0","Yes","Yes"
"630S1.0D","630 Diam Silencer 1.0D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"630S1.0DP","630 Diam Silencer 1.0D Podded","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"630S1.5D","630 Diam Silencer 1.5D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"630S1.5DP","630 Diam Silencer 1.5D Podded","FM - DONKIN","R 3,010.00","3010","0","0","0","-3010","-5","Yes","Yes"
"630S2.0D","630 Diam Silencer 2.0D","FM - DONKIN","R 3,075.00","3075","0","0","0","-3075","0","Yes","Yes"
"630S2.0DP","630 Diam Silencer 2.0D Podded","FM - DONKIN","R 3,896.00","3896","0","0","0","-3896","-5","Yes","Yes"
"630SC","Screen",,"R 455.00","455","0","0","0","-455","2","Yes","Yes"
"630SM1.0D","630 Diam Melinex Silencer 1.0D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"630SM1.0DP","630 Diam Melinex Silencer 1.0D Podded","FM - DONKIN","R 2,400.00","2400","0","0","0","-2400","0","Yes","Yes"
"630SM1.5D","630 Diam Melinex Silencer 1.5D","FM - DONKIN","R 2,175.00","2175","0","0","0","-2175","2","Yes","Yes"
"630SM1.5DP","630 Diam Melinex Silencer 1.5D Podded","FM - DONKIN","R 3,010.00","2916.38","0","0","0","-2916.38","9","Yes","Yes"
"630SM2.0D","630 Diam Melinex Silencer 2.0D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"630SM2.0DP","630 Diam Melinex Silencer 2.0D Podded","FM - DONKIN","R 3,693.00","3693","0","0","0","-3693","4","Yes","Yes"
"630WC","Wall Cowl & Screen",,"R 1,110.00","1110","0","0","0","-1110","1","Yes","Yes"
"650503207000","BEARING 3207 2RS",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"6A102FFZZ0000000","AT 25/25 TIC 40","FM - NICOTRA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"6DA003KZZ0000000","DDMP 8/7 T M6A0 DA5","FM - NICOTRA","R 5,922.23","5922.23","0","0","0","-5922.23","0","Yes","Yes"
"6DA005KZZ000000","DDMP 8/9 T M6A1 DA5",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"6DB0046ZZ0000000","DDMP 10/8 M6A4 DA8",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"6E21001","RDHEO/0180","FM - NICOTRA","R 0.00","0","0","0","0","0","1","Yes","Yes"
"6H2108DZZ0000000","RDH 710 K2","FM - NICOTRA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"6M020K","DDM 9/7 6M020K - 300W 4P 400V-3Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","-1","Yes","Yes"
"6M020M","DDM 9/7 - 6M020M - 550W 4P 230V-1Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","-5","Yes","Yes"
"6M02149B","DDM 10/10 3F 6P 550W",,"R 5,313.20","5313.2","0","0","0","-5313.2","0","Yes","Yes"
"6M0247","DDM 9/7 - 6M0247 - 200W 6P 230V-1Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"6M0299","DDM 7/7 - 6M0299 - 300W 4P 230V-1Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"6M02H0","DDM 10/10 - 6M02H0 - 600W 4P 220V-1Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","-1","Yes","Yes"
"6M02H4","DDM 10/8 - 6M02H4 - 550W 4P 230V-1Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","4","Yes","Yes"
"6M02H5","DDM 10/8 - 6M02H5 - 600W 4P 380V","FM - NICOTRA","R 0.00","0","0","0","0","0","-1","Yes","Yes"
"6M02P4","DDM 10/10 - 6M02P4 - 550W 4P 230V-1Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","1","Yes","Yes"
"6M02R7","DDM 10/10 - 6M02R7 - 500W 6P 230V-1Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","6","Yes","Yes"
"6M02R9","DDM 9/9 - 6M02R9 - 550W 4P 220V-1Ph","FM - NICOTRA","R 3,484.63","2986.83","0","0","0","-2986.83","7","Yes","Yes"
"6M0312","DD 10/8 - 6M0312 - 245W 6P 220V - 1Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"6M04A4/01","DDMP 10/10 230V",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"6M04A5","DDMP8/7",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"6M04L5","DDM 146/190","FM - NICOTRA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"6M0607","DD 12/9 - 6M0607 - 590W 6P 400V - 3Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","3","Yes","Yes"
"6M061U","DD 10/10 - 6M061U - 550W 6P 220V - 1Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"6M0629","DD 9/7 - 6M0629 - 373W 4P 220V - 13Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","17","Yes","Yes"
"6M0631","DD 10/8 - 6M0631 - 373W 4P 220V - 1Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","3","Yes","Yes"
"6M066N","DD 9/9 - 6M066N - 550W 4P 220V - 1Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"6M0679","DD 10/10 - 6M0679 - 500W - 6P 220V - 1Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","16","Yes","Yes"
"6M0690","DD 9/7 - 6M0690 - 245W 6P 220V - 13Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"6M0697","DD 9/9 - 6M0697 - 300W 4P 220V - 1Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","-5","Yes","Yes"
"6M0698","DD 9/9 - 6M0698 - 248W 6P 220V - 1Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","0","Yes","Yes"
"6M06WA","DD9/9 4PIP - 370W","FM - NICOTRA","R 0.00","0","0","0","0","0","7","Yes","Yes"
"6mmEW","End Washer - 43mm OD and 6mm ID - Plated",,"R 14.00","14","0","0","0","-14","16","Yes","Yes"
"6N02R9","DDM 9/9 - 6N02R9 - 550W 4P 220V-1Ph",,"R 0.00","0","0","0","0","0","-4","Yes","Yes"
"6N02XF","DDM 10/10 E6G2503 1F 4P 1V",,"R 3,763.11","3763.11","0","0","0","-3763.11","10","Yes","Yes"
"6N0320","DD 12/12 - 6N0320 - 1100W 6P 400V 3Ph","FM - NICOTRA","R 0.00","0","0","0","0","0","-14","Yes","Yes"
"6X4 HOT RUBBER CBK","6X4 HOT RUBBER CBK",,"R 92.50","92.5","0","0","0","-92.5","10","Yes","Yes"
"7.523PM","7.5kW 2P 380V Pad Mount Motor","FM - MOTOR","R 1,200.00","2722.8","5327","6126.05","48.89","2604.2","5","Yes","Yes"
"7.52FM","7.5KW 2P 400V FOOT",,"R 5,648.00","5648","0","0","0","-5648","1","Yes","Yes"
"7.543FM","7.5kW 4P 400V B3 Alum QL3 Foot Mount","MOTORS","R 5,973.00","5973","0","0","0","-5973","6","Yes","Yes"
"7.543PM","7.5kW 4P 380V Pad Mount Motor","FM - MOTOR","R 5,732.00","5434.17","5559","6392.85","2.25","124.83","12","Yes","Yes"
"7.5kW","4Pole 380V IE1 B3 Cast Iron Foot Mount","MOTORS","R 6,176.00","6176","0","0","0","-6176","0","Yes","Yes"
"7000034","CDC 100 - 7000034 - CDC 100C","FM - OSTBERG","R 0.00","0","0","0","0","0","6","Yes","Yes"
"7000037","CDC 125 - 7000037 - CDC 125C","FM - OSTBERG","R 0.00","0","0","0","0","0","-8","Yes","Yes"
"7000043","CDC 150 - 7000043 - CDC 150C","FM - OSTBERG","R 0.00","0","0","0","0","0","0","Yes","Yes"
"7000048","CDC 160 - 7000048 - CDC160B","FM - OSTBERG","R 0.00","0","0","0","0","0","3","Yes","Yes"
"7000053","CDC 200/0.8 - 7000053 - CDC200A","FM - OSTBERG","R 0.00","0","0","0","0","0","3","Yes","Yes"
"7000057","CDC 200/0.8 - 7000057 - CDC200B","FM - OSTBERG","R 0.00","0","0","0","0","0","0","Yes","Yes"
"7000059","CDC 250 - 7000059 - CDC250C","FM - OSTBERG","R 0.00","0","0","0","0","0","0","Yes","Yes"
"7000067","CDC315 - 7000067 - CDC315B","FM - OSTBERG","R 2,024.25","2024.25","0","0","0","-2024.25","2","Yes","Yes"
"7000072","CDC315 - 7000072 - CDC315C","FM - OSTBERG","R 0.00","0","0","0","0","0","5","Yes","Yes"
"7000073","LT6 - 6Amps","FM - OSTBERG","R 0.00","0","0","0","0","0","-5","Yes","Yes"
"7000074","LT10 - 10 Amps","FM - OSTBERG","R 0.00","0","0","0","0","0","21","Yes","Yes"
"71 FR 13.8","71 Motor frame - 13.8 mm OD spacer",,"R 30.00","30","0","0","0","-30","51","Yes","Yes"
"710 B","Blades",,"R 310.00","310","0","0","0","-310","0","Yes","Yes"
"710 LS","Weather Louvre",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"710 SI","Spare Impeller",,"R 2,681.25","2681.25","0","0","0","-2681.25","2","Yes","Yes"
"710/150/10 SI","Spare Impeller (710mm 'B' 150A10AR 28mm 100Frame 37 DEG - FM3173",,"R 1,164.75","1522.65","0","0","0","-1522.65","5","Yes","Yes"
"710CF","710 Diam Counter Flange","FM - C/FLANGE","R 0.00","50.18","372.9","428.84","86.54","322.72","43","Yes","Yes"
"710CFUG","710 Diam Counter Flange Ungalvanised","FM - C/FLANGE","R 0.00","0","0","0","0","0","18","Yes","Yes"
"710FC","710 Diam Flexible Connection","FM - DONKIN","R 860.00","860","0","0","0","-860","0","Yes","Yes"
"710HVJ-2S","710 Diam Vertical Discharge Unit","FM - DONKIN","R 1,592.00","1592","0","0","0","-1592","0","Yes","Yes"
"710HVJ-2SB","710 Diam Vertical Discharge BASE","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"710IC","Majax Inlet Cone c/w Screen",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"710MBP06","1-0350-240 P06 - 710 Motor Bracket",,"R 0.00","47.37","0","0","0","-47.37","143","Yes","Yes"
"710MF","710 Diam Mounting Feet","FM - M/FEET","R 0.00","0","192.6","221.49","0","192.6","-36","Yes","Yes"
"710MFUG","710 Diam Mounting Feet Ungalvanised","FM - M/FEET","R 0.00","0","0","0","0","0","27","Yes","Yes"
"710PLT400-3MM","710 Casing Sheet - 2238 x 400 - 3mm","CASING","R 440.00","530","0","0","0","-530","7","Yes","Yes"
"710PLT500-3MM","710 Casing Sheet - 2238 x 500 - 3mm","CASING","R 703.00","703","0","0","0","-703","0","Yes","Yes"
"710S1.0D","710 Diam Silencer 1.0D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"710S1.0DP","710 Diam Silencer 1.0D Podded","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"710S1.5D","710 Diam Silencer 1.5D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"710S1.5DP","710 Diam Silencer 1.5D Podded","FM - DONKIN","R 3,685.00","3685","0","0","0","-3685","-8","Yes","Yes"
"710S2.0D","710 Diam Silencer 2.0D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"710S2.0DP","710 Diam Silencer 2.0D Podded","FM - DONKIN","R 4,720.00","4720","0","0","0","-4720","-2","Yes","Yes"
"710SC","Side Screen",,"R 574.00","546.5","0","0","0","-546.5","12","Yes","Yes"
"710SM1.0D","710 Diam Melinex Silencer 1.0D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"710SM1.0DP","710 Diam Melinex Silencer 1.0D Podded","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"710SM1.5D","710 Diam Melinex Silencer 1.5D","FM - DONKIN","R 3,331.00","3331","0","0","0","-3331","-5","Yes","Yes"
"710SM1.5DP","710 Diam Melinex Silencer 1.5D Podded","FM - DONKIN","R 3,500.75","3485.72","0","0","0","-3485.72","17","Yes","Yes"
"710SM2.0D","710 Diam Melinex Silencer 2.0D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"710SM2.0DP","710 Diam Melinex Silencer 2.0D Podded","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"710WC","Wall Cowl & Screen",,"R 1,110.00","1110","0","0","0","-1110","6","Yes","Yes"
"71848","PRA REDUCER STD BRASS 40M - 25F",,"R 112.71","112.71","0","0","0","-112.71","4","Yes","Yes"
"73-18","YCI607A HELLEMON T : RED HANDLE WIRE STRIPPER",,"R 238.50","238.5","0","0","0","-238.5","1","Yes","Yes"
"73-191","HYAC5 CRIMP TOOL B : BOOTLACE CRIMPER",,"R 973.32","973.32","0","0","0","-973.32","1","Yes","Yes"
"734SSC","734 Special Screen - Hot Dip Galvinised",,"R 541.00","541","0","0","0","-541","11","Yes","Yes"
"762-37","762mm 37kw 2P 525V Flameproof Auxiliary Fan",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"762-45","762mm 45KW 2P 525V Flameproof Auxiliary Fan",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"762Assembly","762 Assembly, and Miscellaneous",,"R 0.00","0","0","0","0","0","-2","Yes","Yes"
"762Flame","762 Flameproof Track",,"R 0.00","0","0","0","0","0","-2","Yes","Yes"
"762Grille","762 Grille",,"R 0.00","0","0","0","0","0","-4","Yes","Yes"
"762IMP","762 Impeller",,"R 0.00","0","0","0","0","0","-2","Yes","Yes"
"762Silenced- Motor","762 Silenced Motor Barrel",,"R 0.00","0","0","0","0","0","-2","Yes","Yes"
"762Silenced-Stator","762 Silenced Stator Barrel c/w Stator",,"R 0.00","0","0","0","0","0","-2","Yes","Yes"
"77521","AT 7/7 SC - Single Unit","FM - NICOTRA","R 1,595.21","1276.17","0","0","0","-1276.17","5","Yes","Yes"
"7mmEW","End Washer - 43mm OD and 7mm ID - Plated",,"R 14.00","14","0","0","0","-14","14","Yes","Yes"
"80 FR 18.8","80 Motor Frame - 18.8 mm OD Spacer",,"R 30.00","30","0","0","0","-30","41","Yes","Yes"
"800/150/10 SI","Spare Impeller (800mm 'B' 150A10AR 28mm 100Frame 27 DEG - FM3176)",,"R 1,901.25","1901.25","0","0","0","-1901.25","1","Yes","Yes"
"8005LSW03000300","Grille LS 0300x0300 White for fans 200-250-300",,"R 607.14","607.14","0","0","0","-607.14","2","Yes","Yes"
"800CF","800 Diam Counter Flange","FM - C/FLANGE","R 0.00","212.23","466.2","536.13","54.48","253.97","178","Yes","Yes"
"800CFUG","800 Diam Counter Flange Ungalvanised","FM - C/FLANGE","R 0.00","0","0","0","0","0","40","Yes","Yes"
"800FC","800 Diam Flexible Connection","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"800HVJ-2S","800 Diam Vertical Discharge Unit","FM - DONKIN","R 1,699.00","1699","0","0","0","-1699","2","Yes","Yes"
"800HVJ-2SB","800 Diam Vertical Discharge BASE","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"800IC","Inlet Cone",,"R 1,014.00","1014","0","0","0","-1014","0","Yes","Yes"
"800IMP","Spare Impeller",,"R 0.00","0","0","0","0","0","-4","Yes","Yes"
"800MBP07","1-0350-240 P07 - 800 Motor Bracket",,"R 0.00","28.72","0","0","0","-28.72","127","Yes","Yes"
"800MF","800 Diam Mounting Feet","FM - M/FEET","R 0.00","191.49","356.4","409.86","46.27","164.91","36","Yes","Yes"
"800MFUG","800 Diam Mounting Feet Ungalvanized","FM - M/FEET","R 0.00","0","0","0","0","0","22","Yes","Yes"
"800mm Dia","Casing, Impeller and Brackets",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"800PLT400-2MM","800 Casing Sheet - 2528 x 400 - 2mm","CASING","R 331.00","331","0","0","0","-331","6","Yes","Yes"
"800PLT400-3MM","800 Casing Sheet - 2528 x 400 - 3mm","CASING","R 497.00","597","0","0","0","-597","7","Yes","Yes"
"800PLT400-3MM.","800 Casing Sheet - 2528 x 400 - 3mm","CASING","R 400.00","400","0","0","0","-400","10","Yes","Yes"
"800PLT500-3MM","800 Casing Sheet - 2528 x 500 - 3mm","CASING","R 621.00","767.67","0","0","0","-767.67","6","Yes","Yes"
"800S","800mm dia Fan Guard - Hot Dip Galvanised",,"R 1,200.00","686.4","0","0","0","-686.4","10","Yes","Yes"
"800S1.0D","800 Diam Silencer 1.0D","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
"800S1.0DP","800 Diam Silencer 1.0D Podded","FM - DONKIN","R 3,395.00","3395","0","0","0","-3395","16","Yes","Yes"
"800S1.5D","800 Diam Silencer 1.5D","FM - DONKIN","R 0.00","0","0","0","0","0","-1","Yes","Yes"
"800S1.5DP","800 Diam Silencer 1.5D Podded","FM - DONKIN","R 4,423.00","4423","0","0","0","-4423","-2","Yes","Yes"
