Item Movement Report
Fan Movement (Pty) Ltd,,,Start Date:,01/03/2020
Total for Item:,11125 - MF 150,,,73.00
11127 - MF 100T
05/10/2023,,Adjustment,,1.00
Total for Item:,11127 - MF 100T,,,1.00
11128 - MF 120 T
13/05/2023,Opening Balance,Opening Balance,,16.00
05/10/2023,,Adjustment,,7.00
19/02/2026,INV4405,Tax Invoice,Perma-cure,-3.00
19/02/2026,INV4406,Tax Invoice,Perma-cure,-4.00
Total for Item:,11128 - MF 120 T,,,16.00
11131 - MF 100 LL
13/05/2023,Opening Balance,Opening Balance,,22.00
05/10/2023,,Adjustment,,24.00
Total for Item:,11131 - MF 100 LL,,,46.00
11132 - MF 120 LL
13/05/2023,Opening Balance,Opening Balance,,30.00
05/10/2023,,Adjustment,,27.00
Total for Item:,11132 - MF 120 LL,,,57.00
11133 - MF 150 LL
04/07/2023,INV2267,Tax Invoice,Hucra Fans,-4.00
08/09/2023,,Adjustment,,11.00
03/10/2023,INV2515,Tax Invoice,Hucra Fans,-2.00
05/10/2023,,Adjustment,,4.00
27/11/2023,INV2663,Tax Invoice,Globeco Ship Suppliers cc,-8.00
28/02/2024,INV2857,Tax Invoice,Hucra Fans,-2.00
10/05/2024,INV3009,Tax Invoice,Hucra Fans,-1.00
09/07/2024,SIV2361,Supplier Invoice,Vortice Elettrosociali SpA,15.00
16/08/2024,INV3214,Tax Invoice,Hucra Fans,-4.00
21/02/2025,INV3588,Tax Invoice,Hucra Fans,-6.00
Total for Item:,11133 - MF 150 LL,,,3.00
11135 - MF 100 T LL
13/05/2023,Opening Balance,Opening Balance,,10.00
Total for Item:,11135 - MF 100 T LL,,,10.00
11136 - MF 120 T LL
13/05/2023,Opening Balance,Opening Balance,,24.00
Total for Item:,11136 - MF 120 T LL,,,24.00
11137 - MF 150 T LL
13/05/2023,Opening Balance,Opening Balance,,8.00
Total for Item:,11137 - MF 150 T LL,,,8.00
11145 - MFO 100/4
13/05/2023,Opening Balance,Opening Balance,,20.00
05/10/2023,,Adjustment,,12.00
06/12/2024,INV3475,Tax Invoice,Hucra Fans,-3.00
Total for Item:,11145 - MFO 100/4,,,29.00
11147 - MFO 120/5
08/09/2023,Opening Balance,Opening Balance,,32.00
24/05/2024,INV3040,Tax Invoice,Hucra Fans,-2.00
05/11/2024,INV3388,Tax Invoice,Hucra Fans,-2.00
18/03/2026,INV4483,Tax Invoice,ST AIR SERVICES AND MAINTENANCE (PTY) LTD,-1.00
Total for Item:,11147 - MFO 120/5,,,27.00
11187 - MF 150/6 PIRLL
08/09/2023,Opening Balance,Opening Balance,,3.00
05/10/2023,,Adjustment,,3.00
Total for Item:,11187 - MF 150/6 PIRLL,,,6.00
112 TBLOCK AL F - BMG MOTORLINE SPARES
01/07/2024,SIV2345,Supplier Invoice,Bearing Man Group,1.00
Total for Item:,112 TBLOCK AL F - BMG MOTORLINE SPARES,,,1.00
11201 - M 100 / 4
08/09/2023,,Adjustment,,31.00
05/10/2023,,Adjustment,,24.00
24/10/2023,INV2554,Tax Invoice,Hucra Fans,-1.00
31/01/2024,INV2785,Tax Invoice,Airpro Fans and Blowers (Pty) Ltd,-2.00
21/01/2025,INV3512,Tax Invoice,DHD Construction & Projects,-1.00
27/06/2025,INV3825,Tax Invoice,Airetronic Maintenance & Sales (Pty) Ltd,-2.00
06/08/2025,INV3917,Tax Invoice,"Bidvest - Manutencao E Servicos, Lda",-6.00
06/10/2025,INV4066,Tax Invoice,Airetronic Maintenance & Sales (Pty) Ltd,-3.00
14/01/2026,INV4309,Tax Invoice,MEKAN FACILITIES MANAGEMENT (PTY) LTD,-4.00
Total for Item:,11201 - M 100 / 4,,,36.00
11202 - M100/4
08/09/2023,Opening Balance,Opening Balance,,44.00
05/10/2023,,Adjustment,,12.00
Total for Item:,11202 - M100/4,,,56.00
11211 - M 100 / 4 T
13/05/2023,Opening Balance,Opening Balance,,1.00
Total for Item:,11211 - M 100 / 4 T,,,1.00
11212 - M 100 / 4 T LL
13/05/2023,Opening Balance,Opening Balance,,38.00
Total for Item:,11212 - M 100 / 4 T LL,,,38.00
112525 - 11Kw 2P 525V motor to suit 630 Fans
22/04/2024,SIV2257,Supplier Invoice,ACTOM,2.00
23/04/2024,INV2976,Tax Invoice,Dust-A-Side Central (Pty) Ltd,-2.00
20/05/2024,SIV2288,Supplier Invoice,ACTOM,1.00
20/05/2024,SIV2288,Supplier Invoice,ACTOM,1.00
04/06/2024,SIV2301,Supplier Invoice,ACTOM,1.00
Total for Item:,112525 - 11Kw 2P 525V motor to suit 630 Fans,,,3.00
11260 - ME 100 / 4 LL
08/09/2023,,Adjustment,,19.00
05/10/2023,,Adjustment,,3.00
Total for Item:,11260 - ME 100 / 4 LL,,,22.00
11270 - ME 120/5 LL
13/05/2023,Opening Balance,Opening Balance,,17.00
03/10/2023,INV2515,Tax Invoice,Hucra Fans,-1.00
05/10/2023,,Adjustment,,2.00
25/04/2025,INV3713,Tax Invoice,Hucra Fans,-2.00
Total for Item:,11270 - ME 120/5 LL,,,16.00
112X3SPA - PULLEY FRICTION BELT V-WEDGE 3 GROOVE SPA 2012 TAPER 112MM FENNER
27/09/2024,SIV2562,Supplier Invoice,Bearing Man Group,2.00
10/02/2025,SIV2849,Supplier Invoice,Bearing Man Group,1.00
03/09/2025,SIV3352,Supplier Invoice,Bearing Man Group,5.00
Total for Item:,112X3SPA - PULLEY FRICTION BELT V-WEDGE 3 GROOVE SPA 2012 TAPER 112MM FENNER,,,8.00
11301 - M 120 / 5
19/07/2023,INV2309,Tax Invoice,Technomobile Engineering,-1.00
08/09/2023,,Adjustment,,2.00
03/10/2023,INV2515,Tax Invoice,Hucra Fans,-1.00
05/10/2023,,Adjustment,,14.00
05/10/2023,,Adjustment,,-2.00
16/10/2023,INV2534,Tax Invoice,MSB Engineering,-6.00
16/11/2023,INV2627,Tax Invoice,Mtima Investments,-3.00
10/06/2024,INV3068,Tax Invoice,Matla Solution Group,-1.00
05/07/2024,INV3122,Tax Invoice,Hucra Fans,-1.00
21/01/2025,INV3512,Tax Invoice,DHD Construction & Projects,-1.00
11/07/2025,INV3863,Tax Invoice,Hucra Fans,-1.00
Total for Item:,11301 - M 120 / 5,,,-1.00
11302 - M 120 / 5 LL
13/05/2023,Opening Balance,Opening Balance,,10.00
05/10/2023,,Adjustment,,14.00
10/04/2026,INV4536,Tax Invoice,Hucra Fans,-1.00
Total for Item:,11302 - M 120 / 5 LL,,,23.00
11311 - M 120 / 5 T
13/05/2023,Opening Balance,Opening Balance,,16.00
05/10/2023,,Adjustment,,4.00
12/02/2026,INV4382,Tax Invoice,Perma-cure,-4.00
12/02/2026,CRN1073,Credit Note,Perma-cure,4.00
Total for Item:,11311 - M 120 / 5 T,,,20.00
11313 - MEX 100/4 LL 1S
13/05/2023,Opening Balance,Opening Balance,,16.00
15/07/2025,INV3868,Tax Invoice,Howden Power a Div of Howden Africa (Pty) LTD,-6.00
06/08/2025,CRN1062,Credit Note,Howden Power a Div of Howden Africa (Pty) LTD,6.00
05/05/2026,INV4585,Tax Invoice,Chabo & Joubert Air Conditioning (Pty) Ltd,-12.00
Total for Item:,11313 - MEX 100/4 LL 1S,,,4.00
11314 - MEX 100/4 1S LLT
13/05/2023,Opening Balance,Opening Balance,,14.00
05/10/2023,,Adjustment,,3.00
Total for Item:,11314 - MEX 100/4 1S LLT,,,17.00
11322 - M 120 / 5 A LL
13/05/2023,Opening Balance,Opening Balance,,24.00
25/11/2024,INV3443,Tax Invoice,MR Aubrey Murray,-2.00
Total for Item:,11322 - M 120 / 5 A LL,,,22.00
11333 - MEX 120/5 LL IS
13/05/2023,Opening Balance,Opening Balance,,1.00
24/07/2024,INV3170,Tax Invoice,Thusanane Construction,-4.00
Total for Item:,11333 - MEX 120/5 LL IS,,,-3.00
11334 - MEX 120/5 1S LLT
04/07/2023,INV2267,Tax Invoice,Hucra Fans,-2.00
08/09/2023,,Adjustment,,2.00
05/10/2023,,Adjustment,,2.00
04/09/2024,INV3248,Tax Invoice,Xtreme Air Control (Pty) Ltd,-1.00
Total for Item:,11334 - MEX 120/5 1S LLT,,,1.00
11401 - M 150 / 6
29/05/2023,INV2206,Tax Invoice,Airpro Fans and Blowers (Pty) Ltd,-2.00
26/06/2023,INV2249,Tax Invoice,MK Technical Services (PTY) LTD,-1.00
27/06/2023,INV2250,Tax Invoice,Aircycle Engineering CC,-13.00
27/06/2023,INV2253,Tax Invoice,Aircycle Engineering CC,-18.00
23/08/2023,INV2390,Tax Invoice,Aircycle Engineering CC,-30.00
23/08/2023,INV2401,Tax Invoice,Alittlewood PTY Ltd,-1.00
08/09/2023,,Adjustment,,78.00
21/09/2023,SIV1942,Supplier Invoice,Vortice Elettrosociali SpA,15.00
11/10/2023,INV2518,Tax Invoice,Heat Exchange Products,-2.00
24/10/2023,INV2553,Tax Invoice,Hucra Fans,-13.00
27/11/2023,INV2664,Tax Invoice,MEKAN FACILITIES MANAGEMENT (PTY) LTD,-3.00
13/12/2023,INV2722,Tax Invoice,Thenga Holdings (Pty) Ltd,-4.00
31/01/2024,SIV2159,Supplier Invoice,Vortice Elettrosociali SpA,30.00
07/02/2024,INV2797,Tax Invoice,Airpro Fans and Blowers (Pty) Ltd,-2.00
28/02/2024,INV2858,Tax Invoice,Kliktech Company Limited,-2.00
28/10/2024,INV3371,Tax Invoice,Usizo Technical Services,-8.00
29/10/2024,INV3378,Tax Invoice,Pinnacle Airconditioning,-2.00
21/01/2025,INV3512,Tax Invoice,DHD Construction & Projects,-4.00
31/01/2025,SIV2792,Supplier Invoice,Vortice Elettrosociali SpA,15.00
08/04/2025,INV3680,Tax Invoice,LJ Trading & Projects (Pty) Ltd,-1.00
21/05/2025,INV3761,Tax Invoice,Prexoz (PTY) LTD,-2.00
Total for Item:,11401 - M 150 / 6,,,30.00
11402 - M 150 / 6 LL
13/05/2023,Opening Balance,Opening Balance,,1.00
08/11/2023,SIV2025,Supplier Invoice,Vortice Elettrosociali SpA,18.00
Total for Item:,11402 - M 150 / 6 LL,,,19.00
11411 - M 150 / 6 T
13/05/2023,Opening Balance,Opening Balance,,4.00
05/10/2023,,Adjustment,,3.00
07/11/2024,INV3398,Tax Invoice,Midstone Engineering (Pty) Ltd t/a Midair Air Conditioning Control & Ventilation Supplies,-1.00
Total for Item:,11411 - M 150 / 6 T,,,6.00
11421 - M 150 / 6 A
13/05/2023,Opening Balance,Opening Balance,,2.00
10/06/2024,INV3068,Tax Invoice,Matla Solution Group,-2.00
16/08/2024,INV3212,Tax Invoice,Genesis RJB Enterprises (Pty) Ltd,-2.00
Total for Item:,11421 - M 150 / 6 A,,,-2.00
1143. - 11kW 4Pole 525V B3 NV3 IE1 Cast Iron
12/03/2026,SIV3798,Supplier Invoice,ACTOM,2.00
Total for Item:,1143. - 11kW 4Pole 525V B3 NV3 IE1 Cast Iron,,,2.00
1143PM - 11KW 4 POLE 380V Pad Mount Motor
08/04/2025,SIV2955,Supplier Invoice,WEG South Africa,3.00
Total for Item:,1143PM - 11KW 4 POLE 380V Pad Mount Motor,,,3.00
11741 - M120/5 P
08/09/2023,Opening Balance,Opening Balance,,14.00
17/05/2024,INV3026,Tax Invoice,Hucra Fans,-1.00
Total for Item:,11741 - M120/5 P,,,13.00
11746 - M 120/5AP-PUNTO
17/06/2021,Opening Balance,Opening Balance,,1.00
Total for Item:,11746 - M 120/5AP-PUNTO,,,1.00
118X2SPA. - PULLEY FRICTION BELT V-WEDGE 2 GROOVESPA 1610 TAPER 118MM FENNER
20/06/2025,SIV3125,Supplier Invoice,Bearing Man Group,2.00
Total for Item:,118X2SPA. - PULLEY FRICTION BELT V-WEDGE 2 GROOVESPA 1610 TAPER 118MM FENNER,,,2.00
118X3SPA - PULLEY FRICTION BELT V-WEDGE 3 GROOVE SPA 2012 TAPER 118MM FENNER
29/09/2025,SIV3388,Supplier Invoice,Bearing Man Group,1.00
Total for Item:,118X3SPA - PULLEY FRICTION BELT V-WEDGE 3 GROOVE SPA 2012 TAPER 118MM FENNER,,,1.00
11944 - VORT QUADRO MEDIO
08/09/2023,Opening Balance,Opening Balance,,1.00
Total for Item:,11944 - VORT QUADRO MEDIO,,,1.00
11952 - VORT QUADRO SUPER
08/09/2023,Opening Balance,Opening Balance,,2.00
Total for Item:,11952 - VORT QUADRO SUPER,,,2.00
11967 - VORT PRESS 110 LL
08/09/2023,Opening Balance,Opening Balance,,3.00
Total for Item:,11967 - VORT PRESS 110 LL,,,3.00
1200000 - Insurance
30/05/2025,SIV3105,Supplier Invoice,CRS Corporate Rental Solutions (Pty) Ltd,1.00
Total for Item:,1200000 - Insurance,,,1.00
12017 - MICRO 100 I
14/05/2023,Opening Balance,Opening Balance,,4.00
Total for Item:,12017 - MICRO 100 I,,,4.00
12020 - MEDIO I
19/08/2022,Opening Balance,Opening Balance,,10.00
08/09/2023,,Adjustment,,-10.00
07/02/2025,INV3554,Tax Invoice,AGNUS DEI Airconditioning Services (Pty) Ltd,-1.00
13/05/2025,SIV3039,Supplier Invoice,Vortice Elettrosociali SpA,1.00
13/05/2025,INV3743,Tax Invoice,AGNUS DEI Airconditioning Services (Pty) Ltd,-1.00
Total for Item:,12020 - MEDIO I,,,-1.00
12023 - SUPER I
23/09/2025,SIV3409,Supplier Invoice,Vortice Elettrosociali SpA,1.00
24/10/2025,INV4138,Tax Invoice,Cash Sale ,-1.00
Total for Item:,12023 - SUPER I,,,0.00
1210X28MM - TAPER LOCK BUSH METRIC 1210 28MM FENNER
03/12/2025,SIV3625,Supplier Invoice,Bearing Man Group,1.00
26/01/2026,SIV3686,Supplier Invoice,Bearing Man Group,1.00
Total for Item:,1210X28MM - TAPER LOCK BUSH METRIC 1210 28MM FENNER,,,2.00
1212521 - AT 12/12 SC - Single Unit
05/06/2023,INV2218,Tax Invoice,Alexis Suppliers,-1.00
23/08/2023,INV2400,Tax Invoice,Fans Unlimited Supplies (Pty) Ltd,-1.00
07/09/2023,,Adjustment,,14.00
11/10/2023,INV2521,Tax Invoice,Hucra Fans,-1.00
24/11/2023,INV2656,Tax Invoice,Fans Maintenance and More (Pty) Ltd,-1.00
27/06/2025,INV3824,Tax Invoice,Hucra Fans,-1.00
29/09/2025,INV4044,Tax Invoice,Aircontech Technologies,-1.00
Total for Item:,1212521 - AT 12/12 SC - Single Unit,,,8.00
1212522 - AT 12/12 SC2 - Double Unit
07/09/2023,,Adjustment,,5.00
Total for Item:,1212522 - AT 12/12 SC2 - Double Unit,,,5.00
12412 - V 300/12 AR
25/08/2023,INV2414,Tax Invoice,Hucra Fans,-2.00
08/09/2023,,Adjustment,,21.00
05/10/2023,,Adjustment,,7.00
16/10/2023,INV2534,Tax Invoice,MSB Engineering,-3.00
27/11/2023,INV2664,Tax Invoice,MEKAN FACILITIES MANAGEMENT (PTY) LTD,-1.00
20/06/2024,INV3091,Tax Invoice,OLOT Engineering,-4.00
20/06/2024,INV3092,Tax Invoice,OLOT Engineering,-1.00
25/10/2024,INV3369,Tax Invoice,Estim Construction Zambia Limited,-3.00
21/01/2025,INV3512,Tax Invoice,DHD Construction & Projects,-1.00
31/01/2025,SIV2792,Supplier Invoice,Vortice Elettrosociali SpA,7.00
10/05/2025,INV3732,Tax Invoice,Setati Sol,-6.00
13/05/2025,SIV3039,Supplier Invoice,Vortice Elettrosociali SpA,10.00
21/07/2025,INV3882,Tax Invoice,SJ Global Construction,-1.00
21/07/2025,INV3882,Tax Invoice,SJ Global Construction,-5.00
21/07/2025,INV3882,Tax Invoice,SJ Global Construction,-4.00
21/07/2025,INV3882,Tax Invoice,SJ Global Construction,-2.00
29/07/2025,SIV3437,Supplier Invoice,Vortice Elettrosociali SpA,6.00
01/09/2025,INV3923,Tax Invoice,Superbond Construction,-1.00
03/10/2025,SIV3627,Supplier Invoice,Vortice Elettrosociali SpA,7.00
14/10/2025,INV4090,Tax Invoice,Hucra Fans,-1.00
28/11/2025,INV4254,Tax Invoice,Dynatron Group,-1.00
28/11/2025,INV4255,Tax Invoice,Dynatron Group,-1.00
28/11/2025,INV4256,Tax Invoice,Dynatron Group,-1.00
12/12/2025,INV4295,Tax Invoice,God Reigns Int Church,-1.00
14/01/2026,INV4311,Tax Invoice,Airpro Fans and Blowers (Pty) Ltd,-1.00
27/03/2026,INV4513,Tax Invoice,Airpro Fans and Blowers (Pty) Ltd,-1.00
Total for Item:,12412 - V 300/12 AR,,,17.00
12413 - V 300/12 ARI
08/09/2023,,Adjustment,,28.00
14/12/2023,INV2727,Tax Invoice,HVAC Maintenance (Pty) Ltd,-1.00
23/04/2024,INV2970,Tax Invoice,Airpro Fans and Blowers (Pty) Ltd,-1.00
08/10/2025,INV4073,Tax Invoice,Natal Airconditioning Solutions,-1.00
Total for Item:,12413 - V 300/12 ARI,,,25.00
12415 - V 300/12 AR LL S
08/09/2023,,Adjustment,,31.00
22/11/2023,INV2651,Tax Invoice,Hucra Fans,-1.00
31/01/2024,INV2783,Tax Invoice,Hucra Fans,-1.00
24/01/2025,INV3523,Tax Invoice,Hucra Fans,-1.00
16/05/2025,INV3750,Tax Invoice,Hucra Fans,-1.00
22/07/2025,INV3885,Tax Invoice,Hucra Fans,-6.00
08/08/2025,INV3930,Tax Invoice,Hucra Fans,-1.00
11/11/2025,INV4191,Tax Invoice,VR Maintenance & Logistics Services ( Pty) Ltd,-2.00
Total for Item:,12415 - V 300/12 AR LL S,,,18.00
12416 - V 300/12 ARI LL S
14/07/2023,INV2294,Tax Invoice,Hucra Fans,-1.00
08/09/2023,,Adjustment,,17.00
27/11/2023,INV2664,Tax Invoice,MEKAN FACILITIES MANAGEMENT (PTY) LTD,-2.00
08/11/2024,INV3404,Tax Invoice,Hucra Fans,-1.00
10/04/2025,INV3684,Tax Invoice,Kwangwane contracting and trading,-2.00
Total for Item:,12416 - V 300/12 ARI LL S,,,11.00
12452 - V 230/9 AR
07/07/2023,INV2272,Tax Invoice,Hucra Fans,-3.00
08/09/2023,,Adjustment,,13.00
12/09/2023,INV2456,Tax Invoice,Midstone Engineering (Pty) Ltd t/a Midair Air Conditioning Control & Ventilation Supplies,-3.00
13/12/2023,INV2722,Tax Invoice,Thenga Holdings (Pty) Ltd,-3.00
31/01/2024,SIV2159,Supplier Invoice,Vortice Elettrosociali SpA,20.00
26/04/2024,INV2984,Tax Invoice,First Cool cc,-2.00
20/06/2024,INV3091,Tax Invoice,OLOT Engineering,-6.00
20/06/2024,INV3092,Tax Invoice,OLOT Engineering,-3.00
31/07/2024,INV3190,Tax Invoice,Thenga Holdings (Pty) Ltd,-1.00
31/07/2024,INV3190,Tax Invoice,Thenga Holdings (Pty) Ltd,-1.00
22/10/2024,INV3355,Tax Invoice,Raptor Engineering CC,-2.00
25/10/2024,INV3369,Tax Invoice,Estim Construction Zambia Limited,-3.00
29/10/2024,INV3377,Tax Invoice,Raptor Engineering CC,-2.00
28/01/2025,INV3529,Tax Invoice,DHD Construction & Projects,-3.00
31/01/2025,SIV2792,Supplier Invoice,Vortice Elettrosociali SpA,20.00
30/04/2025,INV3716,Tax Invoice,SJ Global Construction,-6.00
09/05/2025,INV3731,Tax Invoice,Raptor Engineering CC,-5.00
13/05/2025,SIV3039,Supplier Invoice,Vortice Elettrosociali SpA,10.00
21/07/2025,INV3882,Tax Invoice,SJ Global Construction,-2.00
29/07/2025,INV3906,Tax Invoice,Cool Star Airconditioning,-1.00
29/07/2025,SIV3437,Supplier Invoice,Vortice Elettrosociali SpA,6.00
15/08/2025,INV3942,Tax Invoice,D-Teq Air (Pty) Ltd,-1.00
15/08/2025,INV3943,Tax Invoice,Cape Fans (Pty) Ltd,-2.00
29/08/2025,INV3975,Tax Invoice,Compu Cool (Pty) Ltd,-1.00
01/09/2025,INV3923,Tax Invoice,Superbond Construction,-1.00
10/09/2025,SIV3359,Supplier Invoice,Vortice Elettrosociali SpA,10.00
11/09/2025,INV4000,Tax Invoice,Raptor Engineering CC,-5.00
23/09/2025,SIV3409,Supplier Invoice,Vortice Elettrosociali SpA,4.00
03/10/2025,SIV3627,Supplier Invoice,Vortice Elettrosociali SpA,10.00
10/10/2025,INV4077,Tax Invoice,Raptor Engineering CC,-5.00
05/11/2025,INV4174,Tax Invoice,AIRMACH SYSTEMS (Pty) Ltd,-2.00
11/11/2025,INV4187,Tax Invoice,First Cool cc,-4.00
19/11/2025,INV4221,Tax Invoice,Raptor Engineering CC,-5.00
28/11/2025,INV4255,Tax Invoice,Dynatron Group,-2.00
28/11/2025,INV4256,Tax Invoice,Dynatron Group,-5.00
15/12/2025,INV4299,Tax Invoice,Raptor Engineering CC,-5.00
07/01/2026,INV4300,Tax Invoice,Hucra Fans,-2.00
Total for Item:,12452 - V 230/9 AR,,,7.00
12453 - V 230/9 ARI
14/05/2023,Opening Balance,Opening Balance,,30.00
24/07/2025,INV3892,Tax Invoice,Luft Industries Natal (Pty) Ltd,-2.00
22/01/2026,INV4334,Tax Invoice,Voltex Thohoyandou,-25.00
Total for Item:,12453 - V 230/9 ARI,,,3.00
12454 - V 230/9 P LL S
14/05/2023,Opening Balance,Opening Balance,,9.00
07/11/2023,INV2597,Tax Invoice,Ambient Touch,-4.00
15/11/2023,INV2620,Tax Invoice,Jobe Technical Trading,-1.00
07/01/2025,INV3495,Tax Invoice,Hucra Fans,-1.00
29/01/2026,INV4349,Tax Invoice,Boleng Mechanical Engineering Services & Consulting,-2.00
Total for Item:,12454 - V 230/9 P LL S,,,1.00
12455 - V 230/9 AR LL S
08/09/2023,,Adjustment,,21.00
15/09/2023,INV2464,Tax Invoice,Hucra Fans,-1.00
27/09/2023,INV2489,Tax Invoice,kk Ice Master,-4.00
16/02/2024,INV2829,Tax Invoice,Hucra Fans,-2.00
15/03/2024,INV2896,Tax Invoice,Airpro Fans and Blowers (Pty) Ltd,-2.00
19/06/2024,INV3087,Tax Invoice,Hucra Fans,-2.00
12/07/2024,INV3138,Tax Invoice,Hucra Fans,-1.00
23/08/2024,INV3232,Tax Invoice,Hucra Fans,-1.00
19/11/2024,INV3430,Tax Invoice,Hucra Fans,-2.00
31/01/2025,SIV2792,Supplier Invoice,Vortice Elettrosociali SpA,15.00
21/02/2025,INV3589,Tax Invoice,Hucra Fans,-2.00
28/03/2025,INV3664,Tax Invoice,Hucra Fans,-2.00
16/05/2025,INV3750,Tax Invoice,Hucra Fans,-1.00
23/06/2025,SIV3137,Supplier Invoice,Vortice Elettrosociali SpA,20.00
01/07/2025,INV3835,Tax Invoice,Hucra Fans,-1.00
08/07/2025,INV3849,Tax Invoice,Axton Matrix Construction,-3.00
08/07/2025,INV3850,Tax Invoice,Axton Matrix Construction,-5.00
08/07/2025,INV3851,Tax Invoice,Axton Matrix Construction,-4.00
08/07/2025,INV3852,Tax Invoice,Axton Matrix Construction,-8.00
29/07/2025,SIV3437,Supplier Invoice,Vortice Elettrosociali SpA,6.00
Total for Item:,12455 - V 230/9 AR LL S,,,21.00
12456 - V 230/9 ARI LL S
14/05/2023,Opening Balance,Opening Balance,,17.00
03/10/2023,INV2502,Tax Invoice,Hucra Fans,-2.00
06/10/2023,INV2508,Tax Invoice,Hucra Fans,-1.00
17/11/2023,INV2632,Tax Invoice,Hucra Fans,-1.00
12/06/2024,INV3075,Tax Invoice,Ventura Group (Pty) Ltd,-5.00
Total for Item:,12456 - V 230/9 ARI LL S,,,8.00
1250CF - 1250 Diam Counter Flange
16/09/2021,Opening Balance,Opening Balance,,100.00
28/10/2022,INV1762,Tax Invoice,Kenmare Moma Processing (Mauritius) Limited,-4.00
20/02/2023,SIV1566,Supplier Invoice,Attenu-Tec,2.00
28/02/2023,INV2004,Tax Invoice,Enviroware Construction (Pty) Ltd,-2.00
Total for Item:,1250CF - 1250 Diam Counter Flange,,,96.00
1250FC - 1250 Diam Flexible Connection
10/06/2022,Opening Balance,Opening Balance,,10.00
28/10/2022,INV1762,Tax Invoice,Kenmare Moma Processing (Mauritius) Limited,-2.00
07/03/2023,SIV1587,Supplier Invoice,Air Speration,2.00
08/03/2023,INV2023,Tax Invoice,Teichmann South Africa (Pty) Ltd,-2.00
12/02/2024,SIV2176,Supplier Invoice,Attenu-Tec HVAC Parts,2.00
18/03/2024,SIV2212,Supplier Invoice,Attenu-Tec HVAC Parts,2.00
18/03/2024,INV2898,Tax Invoice,RTS Africa Engineering (Pty) Ltd,-2.00
01/10/2024,INV3300,Tax Invoice,RTS Africa Engineering (Pty) Ltd,-2.00
02/10/2024,SIV2565,Supplier Invoice,Attenu-Tec HVAC Parts,2.00
Total for Item:,1250FC - 1250 Diam Flexible Connection,,,10.00
1250MF - 1250 Diam Mounting Feet
16/09/2021,Opening Balance,Opening Balance,,300.00
28/10/2022,INV1762,Tax Invoice,Kenmare Moma Processing (Mauritius) Limited,-13.00
23/02/2023,SIV1571,Supplier Invoice,Air Speration,3.00
28/02/2023,INV2004,Tax Invoice,Enviroware Construction (Pty) Ltd,-3.00
Total for Item:,1250MF - 1250 Diam Mounting Feet,,,287.00
125T600 - 125 Diam Tube Silencer 600L
26/07/2023,SIV1833,Supplier Invoice,Attenu-Tec,2.00
27/07/2023,INV2335,Tax Invoice,DRAKE & GORHAM (Zambia) Ltd.,-2.00
31/10/2023,SIV2085,Supplier Invoice,Attenu-Tec,2.00
13/12/2023,INV2721,Tax Invoice,Enviroware Construction (Pty) Ltd,-2.00
27/09/2024,SIV2560,Supplier Invoice,Attenu-Tec,2.00
17/10/2024,SIV2606,Supplier Invoice,Attenu-Tec,4.00
18/10/2024,INV3292,Tax Invoice,Buildiq Ltd,-2.00
12/05/2025,INV3735,Tax Invoice,Butec,-2.00
13/08/2025,SIV3298,Supplier Invoice,Attenu-Tec,2.00
20/04/2026,SIV3913,Supplier Invoice,Attenu-Tec,2.00
Total for Item:,125T600 - 125 Diam Tube Silencer 600L,,,6.00
125TTSilentM - 125 TT Silent M Fan
07/09/2023,INV2446,Tax Invoice,Cape Fans (Pty) Ltd,-20.00
16/11/2023,INV2622,Tax Invoice,Cape Fans (Pty) Ltd,-30.00
Total for Item:,125TTSilentM - 125 TT Silent M Fan,,,-50.00
12611 - V 150/6 P
14/05/2023,Opening Balance,Opening Balance,,4.00
10/05/2024,INV3008,Tax Invoice,Hucra Fans,-2.00
12/07/2024,INV3136,Tax Invoice,Airpro Fans and Blowers (Pty) Ltd,-2.00
Total for Item:,12611 - V 150/6 P,,,0.00
12612 - V 150/6 AR
04/09/2023,INV2437,Tax Invoice,Fans Maintenance and More (Pty) Ltd,-2.00
08/09/2023,,Adjustment,,77.00
13/09/2023,INV2459,Tax Invoice,Midstone Engineering (Pty) Ltd t/a Midair Air Conditioning Control & Ventilation Supplies,-1.00
06/10/2023,INV2509,Tax Invoice,Hucra Fans,-1.00
19/01/2024,INV2766,Tax Invoice,Airpro Fans and Blowers (Pty) Ltd,-1.00
23/01/2024,INV2769,Tax Invoice,Usizo Technical Services,-2.00
23/01/2024,INV2769,Tax Invoice,Usizo Technical Services,-1.00
23/01/2024,INV2769,Tax Invoice,Usizo Technical Services,-2.00
02/02/2024,INV2788,Tax Invoice,Hucra Fans,-4.00
07/02/2024,INV2796,Tax Invoice,Ducttech CC,-7.00
26/04/2024,INV2984,Tax Invoice,First Cool cc,-5.00
17/05/2024,INV3025,Tax Invoice,Fans Maintenance and More (Pty) Ltd,-1.00
14/06/2024,INV3080,Tax Invoice,Usizo Technical Services,-6.00
26/06/2024,INV3097,Tax Invoice,A-Z Office & Home Renovations,-1.00
04/07/2024,INV3118,Tax Invoice,Sinter Plant Services t/a SPS,-8.00
16/08/2024,INV3215,Tax Invoice,Compu Cool (Pty) Ltd,-4.00
12/09/2024,INV3267,Tax Invoice,Prospec Engineering,-2.00
26/11/2024,INV3448,Tax Invoice,Airpro Fans and Blowers (Pty) Ltd,-3.00
