Code,Description,Type,Category,Supplier,On Hand,Demand,Min,On Order,Lead,Status,   Avg Cost   , Total ,
17161,LINEO 125 QUIET,,FM - VORTICE,,0,,,0,,, R1 513.62 , R24 217.92 ,
17162,LINEO 150 QUIET,,FM - VORTICE,,0,,,0,,, R1 762.95 , R33 496.05 ,
17163,LINEO 160 QUIET,,FM - VORTICE,,19,,,0,,,   R                         -    ,   R                             -    ,
17164,LINEO 200 QUIET,,FM - VORTICE,,0,,,0,,, R2 446.14 , R26 907.54 ,
17165,LINEO 250 QUIET,,FM - VORTICE,,0,,,10,,, R5 148.62 ,   R                             -    ,
17166,LINEO 315 QUIET,,FM - VORTICE,,0,,,0,,, R6 627.02 , R106 032.32 ,
17177,LINEO 200 T,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
17180,LINEO 200,,FM - VORTICE,,0,,,0,,, R1 644.45 , R42 755.70 ,
17181,LINEO 250,,FM - VORTICE,,0,,,0,,, R2 207.34 , R28 695.42 ,
17182,LINEO 315,,FM - VORTICE,,0,,,0,,, R3 082.61 , R24 660.88 ,
17184,LINEO 100 Q T,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
17185,LINEO 100 T,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
17186,LINEO 125 T,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
17187,LINEO 150 T,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
17188,LINEO 160 T,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
18.5KW 4P 380V IP55 300 C/2HR,WEG SMOKEX PAD W22 MOTOR,,,,0,,,0,,, R26 234.00 , R26 234.00 ,
1813521,AT 18/13 SC - Single Unit,,FM - NICOTRA,,0,,,0,,, R2 705.32 , R2 705.32 ,
1818521,AT 18/18 SC - Single Unit,,FM - NICOTRA,,0,,,0,,, R4 085.58 ,   R                             -    ,
1818522,AT 18/18 SC2 - Double Unit,,FM - NICOTRA,,0,,,0,,,   R                         -    ,   R                             -    ,
18INLET-CONE,18 Inch Inlet Cone,,,,0,,,0,,, R630.00 , R630.00 ,
19220,METAL DRY AUTOMATIC,,,,0,,,0,,,   R                         -    ,   R                             -    ,
194832,M10 FLAT WASHER DIN 125A ZINC BLUE (10 .5i/dx20o/dX2thk),,,,0,,,0,,, R0.20 , R52.00 ,
194843,M12 FLAT WASHER DIN 125A ZINC BLUE (13i/d x 24o/d x 2 .5 thk),,,,0,,,0,,, R0.40 , R372.80 ,
194856,M16 FLAT WASHER DIN 125A ZINC BLUE (17i/d x 30o/d X 3thk),,,,0,,,0,,, R0.80 , R640.00 ,
194916,M6 (6.4 X12X1.6) FLAT WASHER DIN 125A ZINC BLUE,,,,3,,,0,,, R0.08 , R24.00 ,
194925,M8 FLAT WASHER DIN 125A ZINC BLUE (8 . 4ID*16OD*1 . 6THICK),,,,0,,,0,,, R0.12 , R19.20 ,
2.2 kw VSD,Speed controller,,,,0,,,0,,,   R                         -    ,   R                             -    ,
2.223PM,2.2kW 2P 380V Pad Mount Motor,,,,0,,,0,,, R2 173.22 , R19 558.98 ,
2.243FM,2.2kW 4P 380V Foot Mount Motor,,,,0,,,0,,, R2 509.50 , R10 038.00 ,
2.243PM,2.2kW 4P 380V Pad Mount Motor,,,,0,,,0,,, R2 585.97 , R124 126.56 ,
2.263PM,2.2kW 6P 380V Pad Mount Motor,,,,0,,,0,,,   R                         -    ,   R                             -    ,
200220VSD,220kW 220V VSD,,,,16,,,0,,, R5 000.00 ,   R                             -    ,
200486,No10 (4.8mm)*19 PAN/HD POZI SELF TAPPER,,,,0,,,0,,, R0.30 , R300.00 ,
200LS,Louvre Shutter,,,,0,,,0,,,   R                         -    ,   R                             -    ,
200T1200,200 Diam Tube Silencer 1200L,,,,0,,,0,,, R727.00 ,   R                             -    ,
200T300,200 Diam Tube Silencer 300L,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
200T600,200 Diam Tube Silencer 600L,,FM - DONKIN,,0,,,0,,, R250.00 , R1 250.00 ,
200T900,200 Diam Tube Silencer 900L,,FM - DONKIN,,0,,,0,,, R623.00 ,   R                             -    ,
2012X25MM.,TAPER LOCK BUSH METRIC 2012 25MM FENNER,,,,39,,,0,,, R100.65 , R100.65 ,
2012X38MM,TAPER LOCK BUSH METRIC 2012 38MM FENNER,,,,42,,,0,,, R102.04 , R1 122.44 ,
214165,M10X25X2 FLAT WASHER Z/BLUE,,,,14,,,0,,, R0.50 , R50.00 ,
214899,M12X30X3 FLAT WASHER Z/BLUE,,,,27,,,0,,, R0.80 , R80.00 ,
220025,M8 . 4*20*3 FLAT WASHER Z/BLUE,,,,17,,,0,,, R1.80 , R180.00 ,
22010,100 Wall Fans,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
22020,120/150 Wall Fixed Grills,,FM - VORTICE,,0,,,0,,, R35.35 , R1 555.40 ,
22131,F 100 / 4 WINDOW KIT,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
22132,F 120 / 5 WINDOW KIT,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
22133,F 150 / 6 WINDOW KIT,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
221331,M150/6 Spare Motor,,,,0,,,0,,,   R                         -    ,   R                             -    ,
22154,S 100 / 4 CEILING KIT,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
22155,S 120 / 5 CEILING KIT,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
22156,S 150 / 6 CEILING KIT,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
22165,FG 100 FIXED GRILLE (VOR 22165),,FM - VORTICE,,0,,,0,,, R47.94 , R575.28 ,
22167,FG 150 FIXED GRILLE (VOR 22167),,FM - VORTICE,,0,,,0,,, R31.15 , R31.15 ,
22668,CA-FU 125,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
22M16X150,M16 X 150 HT Setscrews,,,,0,,,0,,, R26.00 , R208.00 ,
235829,M16*120 HT HEX BOLT Z/BLUE,,,,0,,,0,,, R16.00 , R64.00 ,
237756,M10*16 HT HEX SET SCREW Z/BLUE,,,,0,,,0,,, R1.80 , R288.00 ,
237939,M12*20 HT HEX SET SCREW Z/BLUE 12X20 933 8.8 ZB,,,,0,,,0,,, R3.00 , R480.00 ,
237993,M12*40 HT HEX SET SCREW Z/BLUE,,,,0,,,0,,, R4.00 ,   R                             -    ,
238028,M12*60 HT HEX SET SCREW Z/BLUE,,,,0,,,0,,, R4.40 , R387.20 ,
238062,M12*90 HT HEX SET SCREW Z/BLUE,,,,0,,,0,,, R5.90 , R472.00 ,
238152,M16*100 HT HEX SET SCREW Z/BLUE,,,,0,,,0,,, R12.50 , R1 250.00 ,
238166,M16*120 HT HEX SET SCREW Z/BLUE,,,,0,,,0,,, R18.00 , R1 800.00 ,
238185,M16*150 HT HEX SET SCREW ZINC BLUE,,,,0,,,0,,, R20.00 , R1 200.00 ,
238307,M16*80 HT HEX SET SCREW Z/BLUE,,,,0,,,0,,, R11.00 , R220.00 ,
239044,M5*16 HT HEX SET SCREW Z/BLUE,,,,0,,,0,,, R0.40 , R80.00 ,
239158,M6*25 HT HEX SET SCREW Z/BLUE,,,,0,,,0,,, R0.65 , R195.00 ,
239281,M8*16 HT SET SCREW Z/BLUE,,,,0,,,0,,, R0.90 , R144.00 ,
241419,M10 (10.5X20X2) DIN 125 FLAT WASHER S/S 304 - A2,,,,0,,,0,,, R0.40 , R48.00 ,
241420,M12 FLAT WASHER DIN 125A - (13i/dX24o/dX2.5thk) S/S 304 - A2,,,,0,,,0,,, R0.80 , R265.60 ,
241421,M16 (17X30X3) FLAT WASHER DIN 125A S/S 304 - A2,,,,0,,,0,,, R1.30 , R364.00 ,
241440,M5 FLAT WASHER DIN 125A S/S 304 - A2 -(5.3i/d X 10o/d X 1thk),,,,0,,,0,,, R0.06 , R7.20 ,
241442,M6 FLAT WASHER DIN 125A S/S 304 - A2 - (6.4X12.5X1.6),,,,0,,,0,,, R0.15 , R18.00 ,
242536,No10 (4.8mm) X 19 PAN/HD POZI SELF TAPPER - S/S 304 - A2,,,,0,,,0,,, R0.70 , R700.00 ,
244896,M10*25 HEX SET SCREW S/S 304 - A2,,,,0,,,0,,, R3.00 , R360.00 ,
244949,M12*25 HEX SET SCREW S/S A2 - 304,,,,0,,,0,,, R4.50 , R540.00 ,
244999,M16X120 A2 HEX SET SCREW,,,,0,,,0,,, R45.00 , R3 600.00 ,
245022,M16*60 HEX SET SCREW S/S A2 - 304,,,,0,,,0,,, R15.00 , R120.00 ,
245035,M16*90 A2 HEX SET SCREW,,,,0,,,0,,, R20.00 , R160.00 ,
245199,M5*16 HEX SET SCREW S/S 304 - A2,,,,0,,,0,,, R0.65 , R273.00 ,
245232,M6*16 A2 HEX SET SCREW,,,,0,,,0,,, R0.80 , R336.00 ,
245328,M12 HEX NUT S/S 304 - A2,,,,0,,,0,,, R1.80 , R259.20 ,
245333,M16 HEX NUT S/S A2 304,,,,0,,,0,,, R3.50 , R840.00 ,
245381,M5 HEX NUTS S/S 304 - A2,,,,0,,,0,,, R0.20 , R60.00 ,
245388,M6 HEX NUT S/S 304 - A2,,,,0,,,0,,, R0.30 , R90.00 ,
24VDC,"24VDV, KL, Plug, 119x119x38mm, Compact fan",,,,0,,,0,,,   R                         -    ,   R                             -    ,
250 WL,Weather Louvre,,,,0,,,0,,,   R                         -    ,   R                             -    ,
250/355 WC,Wall Cowl Galvanized,,,,0,,,0,,, R653.00 , R1 959.00 ,
25001,PRA BLANKING PLUG FLP Exd 20mm,,,,11,,,0,,, R54.56 , R109.12 ,
25012CL,"250/12 Clamp - to suit, 38mm and 42mm bore hubs",,,,1,,,6,,, R297.00 , R20 493.00 ,
25012CL38,250/12 Clamp - 38mm,,,,0,,,0,,,   R                         -    ,   R                             -    ,
25012CL42,250/12 Clamp - 42mm,,,,6,,,0,,,   R                         -    ,   R                             -    ,
25012H19,250/12 Hub - 19mm,,,,0,,,0,,, R384.00 , R1 536.00 ,
25012H24,250/12 Hub - 24mm bore,,,,0,,,0,,, R384.00 , R11 520.00 ,
25012H28,250/12 Hub - 28mm bore,,,,0,,,0,,, R384.00 , R9 216.00 ,
25012H38,250/12 Hub - 38mm,,,,10,,,0,,, R384.00 , R2 304.00 ,
25012H42,250/12 Hub - 42mm,,,,0,,,0,,, R384.00 , R2 304.00 ,
250LS,Louvre Shutter,,,,0,,,0,,,   R                         -    ,   R                             -    ,
250T1200,250 Diam Tube Silencer 1200L,,,,0,,,0,,, R818.00 ,   R                             -    ,
250T300,250 Diam Tube Silencer 300L,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
250T600,250 Diam Tube Silencer 600L,,FM - DONKIN,,0,,,0,,, R595.00 , R2 380.00 ,
2517X25MM.,TAPER LOCK BUSH METRIC 2517 25MM FENNER,,,,0,,,0,,, R159.27 , R796.35 ,
2517X28MM,TAPER LOCK BUSH METRIC 2517 28MM FENNER,,,,0,,,0,,, R154.81 , R154.81 ,
2517X35MM,TAPER LOCK BUSH METRIC 2517 35MM FENNER,,,,0,,,0,,, R170.11 , R340.22 ,
255557,Stop Start Panel - ABB,,,,0,,,0,,,   R                         -    ,   R                             -    ,
257799,M10 DIN 934 GRADE 8.8 HEX NUT - Satinless Steel,,,,0,,,0,,, R1.50 , R180.00 ,
257855,M16 GR8 HEX NUT Z/BLUE,,,,0,,,0,,, R1.88 , R1 146.80 ,
258032,M5 HT HEX NUT Z/BLUE,,,,0,,,0,,, R0.15 , R30.00 ,
258205,M12 HT NYLOCK NUT,,,,0,,,0,,, R0.90 , R36.00 ,
258306,M6 HT NYLOCK NUT,,,,0,,,0,,, R0.20 , R60.00 ,
25CA10,Manifold Filter 5'',,,,0,,,0,,,   R                         -    ,   R                             -    ,
25FF10J20,Filtro - FLANGIA DN100 - CON 2 PRESE DI PRESSIONE 1/4 GAS E TAPPI - Item Code: FF10J20,,,,0,,,0,,,   R                         -    ,   R                             -    ,
25FL10,Filter FL10,,,,0,,,0,,,   R                         -    ,   R                             -    ,
25FM10.,FLEXIBLE SLEEVE FM 10,,,,0,,,0,,,   R                         -    ,   R                             -    ,
25FM8,Flexible Sleeve FM 8,,,,0,,,0,,,   R                         -    ,   R                             -    ,
25MC040,PRESSURE GAUGE 0-600 M.BAR,,,,0,,,0,,,   R                         -    ,   R                             -    ,
25MP8,Sleeve MP 8 with O-Ring,,,,0,,,0,,,   R                         -    ,   R                             -    ,
25PV10950,Valve Holder G5 INOX VRL 9 L50,,,,0,,,0,,,   R                         -    ,   R                             -    ,
25VC10-,NON-RETURN VALVE,,,,0,,,0,,,   R                         -    ,   R                             -    ,
25VRL6G50,RELIEF VALVE VRL9 GAS L50,,,,0,,,0,,,   R                         -    ,   R                             -    ,
25VRL9G50,RELIEF VALVE VRL9 GAS L50,,,,0,,,0,,,   R                         -    ,   R                             -    ,
26016666640A,HBA 112 T6 c/w 7.5Kw 6P 525V,,,,0,,,0,,,   R                         -    ,   R                             -    ,
26025,DEUMIDO 10,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
26027,DEUMIDO 20,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
26-29,4MM RED RING LUGS,,,,0,,,0,,, R83.34 , R333.36 ,
26-30,5MM RED RING LUGS,,,,0,,,0,,, R86.31 , R345.24 ,
267215,M12 HEX NUT ZINC BLUE,,,,0,,,0,,, R1.00 , R704.00 ,
3 MM PLT,Bending,,,,1,,,0,,, R5.00 , R800.00 ,
300 X 300 DG,DOOR GRILLE 300/300 NS NA,,,,0,,,0,,,   R                         -    ,   R                             -    ,
300 x 300 filter box,"c/w filter, 450 x 450 weather louvre & double deflection grill",,,,0,,,0,,,   R                         -    ,   R                             -    ,
300220VSD,320kW 220V VSD,,,,0,,,0,,, R6 000.00 ,   R                             -    ,
300WL,Weather Louvre,,,,1,,,0,,,   R                         -    ,   R                             -    ,
30301,C 10/2 T ATEX II 2G/D h T3/125 X Gb/Db,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
30304,C 15/2 T ATEX II 2G/D h T3/125 X Gb/Db,,FM - VORTICE,,1,,,0,,,   R                         -    ,   R                             -    ,
30305,C 20/2 T ATEX II 2G/D h T3/125 X Gb/Db,,FM - VORTICE,,2,,,0,,,   R                         -    ,   R                             -    ,
30306,C 25/2 T ATEX II 2G/D h T3/125 X Gb/Db,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
30307,C 30/2 T ATEX II 2G/D h T3/125 X Gb/Db,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
30308,C 30/4 T ATEX II 2G/D h T3/125 X Gb/Db,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
30309,C 31/4 T ATEX II 2G/D h T3/125 X Gb/Db,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
30310,C 35/4 T ATEX II 2G/D h T3/125 X Gb/Db,,FM - VORTICE,,48,,,0,,,   R                         -    ,   R                             -    ,
30311,C 37/4 T ATEX II 2G/D h T3/125 X Gb/Db,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
30630189P16,Majax-2 Screen,,,,0,,,0,,,   R                         -    ,   R                             -    ,
315 LS,Louvre Shutter,,,,0,,,0,,,   R                         -    ,   R                             -    ,
315-560AVMS,315 to 560 NDA RED ANeoprene Floor Mounts,,FM - DONKIN,,0,,,0,,, R42.71 , R33 057.54 ,
315CF,315 Diam Counter Flange,,FM - DONKIN,,56,,,0,,, R80.00 , R7 360.00 ,
315FC,315 Diam Flexible Connection,,FM - DONKIN,,0,,,0,,, R142.96 , R1 715.52 ,
315HVJ-2S,315 Diam Vertical Discharge Unit,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
315HVJ-2SB,315 Diam Vertical Discharge BASE,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
315MBP01,1-0350-240-P01 - 315 Motor Bracket,,,,6,,,2,,, R40.64 , R10 403.84 ,
315MF,315 Diam Mounting Feet,,FM - DONKIN,,1,,,0,,, R22.51 ,   R                             -    ,
315S1.0D,315 Diam Silencer 1.0D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
315S1.0DP,315 Diam Silencer 1.0D Podded,,FM - DONKIN,,0,,,0,,, R1 425.00 , R1 425.00 ,
315S1.5D,315 Diam Silencer 1.5D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
315S1.5DP,315 Diam Silencer 1.5D Podded,,FM - DONKIN,,0,,,0,,, R1 340.00 , R1 340.00 ,
315S2.0D,315 Diam Silencer 2.0D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
315S2.0DP,315 Diam Silencer 2.0D Podded,,FM - DONKIN,,0,,,0,,, R1 695.00 , R10 170.00 ,
315SC,315mm Dia HDG Screen,,,,0,,,0,,,   R                         -    ,   R                             -    ,
315SM1.0D,315 Diam Melinex Silencer 1.0D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
315SM1.0DP,315 Diam Melinex Silencer 1.0D Podded,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
315SM1.5D,315 Diam Melinex Silencer 1.5D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
315SM1.5DP,315 Diam Melinex Silencer 1.5D Podded,,FM - DONKIN,,29,,,0,,, R1 270.00 ,   R                             -    ,
315SM2.0D,315 Diam Melinex Silencer 2.0D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
315SM2.0DP,315 Diam Melinex Silencer 2.0D Podded,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
315T300,315 Diam Tube Silencer 300L,,FM - DONKIN,,0,,,0,,, R414.00 ,   R                             -    ,
315T600,315 Diam Tube Silencer 600L,,FM - DONKIN,,1,,,0,,, R679.00 , R10 864.00 ,
315T900,315 Diam Tube Silencer 900L,,FM - DONKIN,,1,,,0,,, R793.00 ,   R                             -    ,
320 x 280 x 80,220V KL Plug - 250HL0601,,,,1,,,0,,,   R                         -    ,   R                             -    ,
323PM,3kW 2P 380V Pad Mount Motor,,,,0,,,0,,, R2 929.62 , R23 436.96 ,
33353,C30/4T,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
33355,C31/4T,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
343PM,3kW 4P 380V Pad Mount Motor,,,,0,,,0,,, R2 879.48 , R100 781.80 ,
350 LV,Louvre Shutter,,,,0,,,0,,,   R                         -    ,   R                             -    ,
350 x 350 filter box,"c/w filter, 450 x 450 weather louvre & double deflection grill",,,,0,,,0,,,   R                         -    ,   R                             -    ,
355CF,355 Diam Counter Flange,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
355FC,355 Diam Flexible Connection,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
355HVJ-2S,355 Diam Vertical Discharge Unit,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
355HVJ-2SB,355 Diam Vertical Discharge BASE,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
355MF,355 Diam Mounting Feet,,FM - DONKIN,,0,,,0,,, R90.15 , R360.60 ,
355S1.0D,355 Diam Silencer 1.0D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
355S1.0DP,355 Diam Silencer 1.0D Podded,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
355S1.5D,355 Diam Silencer 1.5D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
355S1.5DP,355 Diam Silencer 1.5D Podded,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
355S2.0D,355 Diam Silencer 2.0D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
355S2.0DP,355 Diam Silencer 2.0D Podded,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
355SM1.0D,355 Diam Melinex Silencer 1.0D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
355SM1.0DP,355 Diam Melinex Silencer 1.0D Podded,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
355SM1.5D,355 Diam Melinex Silencer 1.5D,,FM - DONKIN,,10,,,0,,,   R                         -    ,   R                             -    ,
355SM1.5DP,355 Diam Melinex Silencer 1.5D Podded,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
355SM2.0D,355 Diam Melinex Silencer 2.0D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
355SM2.0DP,355 Diam Melinex Silencer 2.0D Podded,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
355T600.,355 Diam Tube Silencer 600L,,FM - DONKIN,,0,,,0,,, R731.00 ,   R                             -    ,
363PM,3kW 6P 380V Pad Mount Motor,,,,0,,,0,,,   R                         -    ,   R                             -    ,
"380W, 230V, 800m3/hr, 75lt",Evaporative Air Cooler: 3 Speed,,,,0,,,0,,,   R                         -    ,   R                             -    ,
3mm gal plt - Program 1,program 1,,,,0,,,0,,, R2 950.00 , R11 800.00 ,
3mm galv plt,Mounting feet,,,,0,,,0,,, R2 334.00 , R9 336.00 ,
3mm galv plt - Bracket,Bracket,,,,0,,,0,,, R2 334.00 , R4 668.00 ,
3mm plt - program 2,Program 2,,,,0,,,0,,, R2 650.00 , R10 600.00 ,
4 kW 2P 112M,3Ph 380-400-415 Standard Efficiency IC418 - TEAO - B30L(D),,,,0,,,0,,, R4 071.00 , R4 071.00 ,
4.03,Ablution ventilation,,,,42,,,0,,,   R                         -    ,   R                             -    ,
400220VSD,420kW 220V VSD,,,,0,,,0,,, R7 000.00 ,   R                             -    ,
400BS,Bird Screen,,,,0,,,0,,,   R                         -    ,   R                             -    ,
400C400,400 Casing x 400mm Long - DO NOT DRILL MOTOR AND BRACKET HOLES,,FM - CFW FANS,,0,,,0,,, R1 195.00 , R14 340.00 ,
400CF,400 Diam Counter Flange,,FM - DONKIN,,0,,,0,,, R85.00 , R9 010.00 ,
400FC,400 Diam Flexible Connection,,FM - DONKIN,,27,,,0,,, R264.78 , R4 236.48 ,
400HVJ-2S,400 Diam Vertical Discharge Unit,,FM - DONKIN,,0,,,0,,, R840.00 ,   R                             -    ,
400HVJ-2SB,400 Diam Vertical Discharge BASE,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
400MBP02,1-0350-240 P02 - 400 Motor Bracket,,,,0,,,0,,, R40.25 , R8 211.00 ,
400MF,400 Diam Mounting Feet,,FM - DONKIN,,0,,,8,,, R36.68 ,   R                             -    ,
400S1.0D,400 Diam Silencer 1.0D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
400S1.0DP,400 Diam Silencer 1.0D Podded,,FM - DONKIN,,0,,,0,,, R1 456.00 ,   R                             -    ,
400S1.5D,400 Diam Silencer 1.5D,,FM - DONKIN,,0,,,0,,, R1 164.00 ,   R                             -    ,
400S1.5DP,400 Diam Silencer 1.5D Podded,,FM - DONKIN,,0,,,0,,, R1 575.33 , R28 355.94 ,
400S2.0D,400 Diam Silencer 2.0D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
400S2.0DP,400 Diam Silencer 2.0D Podded,,FM - DONKIN,,0,,,0,,, R2 015.29 , R10 076.45 ,
400SC,400 Diam Side Screen,,,,0,,,0,,, R283.00 , R566.00 ,
400SM1.0D,400 Diam Melinex Silencer 1.0D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
400SM1.0DP,400 Diam Melinex Silencer 1.0D Podded,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
400SM1.5D,400 Diam Melinex Silencer 1.5D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
400SM1.5DP,400 Diam Melinex Silencer 1.5D Podded,,FM - DONKIN,,0,,,0,,, R1 506.50 , R3 013.00 ,
400SM2.0D,400 Diam Melinex Silencer 2.0D,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
400SM2.0DP,400 Diam Melinex Silencer 2.0D Podded,,FM - DONKIN,,1,,,0,,,   R                         -    ,   R                             -    ,
400WL,Weather Louvre,,,,0,,,0,,,   R                         -    ,   R                             -    ,
400X400WL,Weather Louvre NS,,,,0,,,0,,,   R                         -    ,   R                             -    ,
40301,E 254 M ATEX II 2G/D h T3/125 X Gb/Db,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
40302,E 304 M ATEX II 2G/D h T3/125 X Gb/Db,,FM - VORTICE,,1,,,0,,, R4 791.06 ,   R                             -    ,
40304,E 354 M ATEX II 2G/D h T3/125 X Gb/Db,,FM - VORTICE,,2,,,0,,, R7 004.13 ,   R                             -    ,
40306,E 404 M ATEX II 2G/D h T3/125 X Gb/Db,,FM - VORTICE,,0,,,0,,, R7 909.61 , R15 819.22 ,
40308,E 454 M ATEX II 2G/D h T3/125 X Gb/Db,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
40309,E 254 T ATEX II 2G/D h T3/125 X Gb/Db,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
40310,E 304 T ATEX II 2G/D h T3/125 X Gb/Db,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
40313,E 354 T ATEX II 2G/D h T3/125 X Gb/Db,,FM - VORTICE,,0,,,0,,, R5 930.81 , R5 930.81 ,
40314,E404 T ATEX,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
40315,E 454 T ATEX II 2G/D h T3/125 X Gb/Db,,FM - VORTICE,,1,,,0,,,   R                         -    ,   R                             -    ,
40316,E 504 T ATEX II 2G/D h T3/125 X Gb/Db,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
40317,E 604 T ATEX II 2G/D h T3/125 X Gb/Db,,FM - VORTICE,,0,,,0,,,   R                         -    ,   R                             -    ,
4032+0037,SPARE MOTOR SIZE 90 - 2.2kW 2 POLI - 230V-50Hz SINGLE-PHASE -CL.F TROP. IP55 + PTO,,,,0,,,0,,,   R                         -    ,   R                             -    ,
40322,E 354 M ATEX II 2G/D h T3/125 X Gb/Db,,,,0,,,0,,, R7 245.65 , R7 245.65 ,
40324,E 454 M ATEX II 2G/D h T3/125 X Gb/Db,,,,0,,,0,,, R7 797.41 , R7 797.41 ,
40329,E 454 T ATEX II 2G/D h T3/125 X Gb/Db,,,,0,,,0,,, R7 098.60 , R14 197.20 ,
42116,BD 12/12 T6 1.1KW 251520160,,,,0,,,0,,, R4 363.48 , R34 907.84 ,
42227,A-E 304 T,,FM - VORTICE,,0,,,0,,, R2 758.05 , R2 758.05 ,
42259,A-E 354 T,,FM - VORTICE,,1,,,0,,, R3 107.62 , R3 107.62 ,
423PM,4kW 2P 380V Pad Mount Motor,,,,0,,,0,,, R3 650.83 , R62 064.11 ,
44.13.0010,Round Terminal Block,,,,0,,,0,,, R39.00 , R3 900.00 ,
443FM,4KW 4 D112 ALU Foot 400V IE1 SN:,,,,0,,,0,,, R3 563.16 , R3 563.16 ,
443PM,4kW 4P 380V Pad Mount Motor,,,,0,,,0,,, R4 038.16 , R100 954.00 ,
450CF,450 Diam Counter Flange,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
450FC,450 Diam Flexible Connection,,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
